Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
34912,46714,44303,636,39931,14727,Robeson,352,861,11737,1650,39917,12725,10090,130625,636,53847,46680,1820,888,13028,20565,13027,13268,38215,50813,98425,15493,661,109195,11132,34921,33577,861,11132,53805,405
4644,5482,5338,0,5122,2741,Perquimans,0,0,940,187,5121,2554,782,13463,0,6122,5469,203,15,985,3671,985,2743,5006,5946,10957,2946,11,11854,825,4646,4556,0,825,6106,0
67004,97005,90266,1103,72063,23743,Johnston,502,1353,28281,3144,72037,20097,25283,209339,1103,105670,96961,3324,1365,32242,28558,32241,20762,68311,97945,156585,24636,1120,175612,28854,67030,63880,1353,28855,105631,550
38116,55890,53338,540,40382,19096,Randolph,416,740,17587,3297,40354,15383,15923,143667,540,60200,55848,3293,742,19076,26060,19075,15744,38934,57261,111702,19530,564,123257,17192,38133,36875,740,17193,60169,493
2838,2978,2871,,3026,991,Hyde,,,150,38,3026,953,134,4937,,3185,2978,44,,159,1114,159,974,2908,3058,4098,1018,,4410,140,2838,2737,,140,3185,
4677,5828,5671,0,4978,2486,Alleghany,0,0,1185,288,4971,2198,1084,11137,0,6245,5797,300,34,1233,3116,1233,2290,4872,6057,9249,2590,26,9915,1120,4682,4587,0,1120,6204,0
15474,22147,21048,207,17103,7196,Duplin,152,267,6446,1265,17095,5779,5811,58741,207,24566,22122,1297,283,7180,11405,7180,5974,16509,23222,44760,7452,228,49644,6441,15478,15030,267,6441,24542,181
3620,4046,3951,,3981,1673,Gates,,0,430,112,3976,1561,391,11562,,4463,4045,112,12,470,2418,470,1687,3880,4310,9230,1799,,10120,425,3621,3560,0,425,4446,0
24611,32247,30981,836,25606,13074,Haywood,504,1222,6960,1574,25599,10996,6325,62317,848,34249,32208,1705,1247,7396,15572,7396,11198,24731,32897,50968,13491,881,54941,6749,24617,23820,1206,6749,34217,588
18473,24302,23368,358,19756,9136,Stanly,284,460,5920,1132,19753,7720,5168,62806,358,26454,24269,1190,472,6226,12123,6226,8044,19040,25420,49282,9561,389,54008,5438,18475,17842,460,5438,26439,327
29680,144095,134871,36021,34844,21124,Missing,8564,20694,74877,6614,34789,5946,70912,,36051,137930,143088,6118,21794,81292,,81279,6781,32359,127879,,18430,36855,,77357,29881,27938,20643,77359,136762,5531
26581,36787,34968,321,28346,12176,Wilson,212,479,9966,1540,28342,10424,8812,81801,321,40019,36745,1582,495,11178,15337,11176,10709,27450,37895,63224,12540,354,69710,9843,26588,25835,479,9845,39997,249
1632,1760,1688,,1763,631,Tyrrell,,,150,34,1762,597,123,4016,,1919,1759,33,,156,810,156,619,1676,1826,3288,652,,3533,127,1633,1565,,127,1918,
33357,54475,52059,6853,36089,15591,Wayne,1036,9932,14613,2612,36066,11943,12681,123131,7005,62375,54419,2770,9974,16312,20802,16312,12302,35071,59366,94031,16586,7045,103693,14057,33373,32525,9682,14057,62310,1514
8310,10721,10371,113,8867,4218,Montgomery,85,140,2421,413,8867,3720,2129,27173,113,11627,10690,457,183,2577,5743,2577,3816,8656,11217,21266,4369,144,23512,2267,8310,8129,140,2267,11584,96
18771,26812,25736,273,20256,9735,Lenoir,194,404,7935,1417,20252,8124,6979,55949,273,29530,26780,1466,420,8854,11303,8854,8343,19879,28218,43423,10042,301,47933,7736,18775,18484,404,7736,29510,233
11262,15257,14656,153,12102,5600,Scotland,95,198,3934,707,12100,4798,3400,34823,153,16767,15217,794,239,4426,6531,4426,4942,11893,16025,26793,5854,193,29381,3802,11262,11103,198,3802,16724,118
66803,88829,83928,1024,69751,25269,Alamance,650,1328,21617,3637,69737,20982,19461,169509,1024,94394,88801,4021,1359,23284,29035,23283,21450,66009,88954,132145,26190,1039,145046,20974,66816,63443,1328,20974,94348,719
3153,4650,4467,871,3515,1313,Camden,0,795,657,89,3510,1224,588,10867,871,5030,4639,109,824,691,1833,691,1333,3348,4800,8407,1442,882,9354,615,3153,3008,795,615,4996,0
7650,9782,9395,56,8165,2788,Greene,43,82,2090,302,8163,2443,1785,21069,56,10668,9757,325,101,2402,3592,2402,2498,8049,10221,16884,2881,80,18372,2051,7651,7554,82,2051,10647,58
