ZIPCode,Place,date,cases_confirmed_cum,deaths_confirmed_cum,TotalPop,cases_daily,deaths_daily,state,cases_per_100k
27301,Mc Leansville,2020-05-08,8,2,10019,8,2,North Carolina,79.8482882523206
27302,Mebane,2020-05-08,25,0,32302,25,0,North Carolina,77.3945885703672
27305,Milton,2020-05-08,11,1,1585,11,1,North Carolina,694.006309148265
27306,Mount Gilead,2020-05-08,7,0,5945,7,0,North Carolina,117.746005046257
27310,Oak Ridge,2020-05-08,6,1,8562,6,1,North Carolina,70.0770847932726
27311,Pelham,2020-05-08,0,0,3220,0,0,North Carolina,0
27312,Pittsboro,2020-05-08,88,6,22205,88,6,North Carolina,396.307138031975
27313,Pleasant Garden,2020-05-08,30,4,7288,30,4,North Carolina,411.635565312843
27314,Prospect Hill,2020-05-08,0,0,1138,0,0,North Carolina,0
27315,Providence,2020-05-08,1,0,2140,1,0,North Carolina,46.7289719626168
27316,Ramseur,2020-05-08,35,1,7156,35,1,North Carolina,489.100055897149
27317,Randleman,2020-05-08,30,1,17851,30,1,North Carolina,168.057811887289
27320,Reidsville,2020-05-08,13,2,38894,13,2,North Carolina,33.4241785365352
27325,Robbins,2020-05-08,4,0,7676,4,0,North Carolina,52.1104742053153
27326,Ruffin,2020-05-08,4,0,3692,4,0,North Carolina,108.342361863489
27330,Sanford,2020-05-08,174,1,39529,174,1,North Carolina,440.183156669787
27332,Sanford,2020-05-08,79,0,33549,79,0,North Carolina,235.476467256848
27341,Seagrove,2020-05-08,6,0,5820,6,0,North Carolina,103.092783505155
27343,Semora,2020-05-08,1,0,1840,1,0,North Carolina,54.3478260869565
27344,Siler City,2020-05-08,283,1,19290,283,1,North Carolina,1467.08138932089
27349,Snow Camp,2020-05-08,4,0,5850,4,0,North Carolina,68.3760683760684
27350,Sophia,2020-05-08,2,0,7508,2,0,North Carolina,26.638252530634
27355,Staley,2020-05-08,17,0,3196,17,0,North Carolina,531.914893617021
27356,Star,2020-05-08,4,0,3513,4,0,North Carolina,113.862795331625
27357,Stokesdale,2020-05-08,14,1,8325,14,1,North Carolina,168.168168168168
27358,Summerfield,2020-05-08,8,1,15960,8,1,North Carolina,50.125313283208
27360,Thomasville,2020-05-08,48,0,48331,48,0,North Carolina,99.3151393515549
27370,Trinity,2020-05-08,13,0,14622,13,0,North Carolina,88.9071262481193
27371,Troy,2020-05-08,6,0,7778,6,0,North Carolina,77.1406531241965
27376,West End,2020-05-08,7,0,9884,7,0,North Carolina,70.8215297450425
27377,Whitsett,2020-05-08,11,0,9597,11,0,North Carolina,114.619151818277
27379,Yanceyville,2020-05-08,6,0,6057,6,0,North Carolina,99.0589400693413
27401,Greensboro,2020-05-08,16,1,20221,16,1,North Carolina,79.1256614410761
27403,Greensboro,2020-05-08,14,1,21278,14,1,North Carolina,65.7956574866059
27405,Greensboro,2020-05-08,53,4,52510,53,4,North Carolina,100.933155589412
27406,Greensboro,2020-05-08,42,5,60755,42,5,North Carolina,69.130112747922
27407,Greensboro,2020-05-08,72,5,49837,72,5,North Carolina,144.470975379738
27408,Greensboro,2020-05-08,9,0,17406,9,0,North Carolina,51.7063081695967
27409,Greensboro,2020-05-08,8,1,17953,8,1,North Carolina,44.5607976382777
27410,Greensboro,2020-05-08,22,0,56968,22,0,North Carolina,38.6181716051116
27411,Greensboro,2020-05-08,0,0,847,0,0,North Carolina,0
27412,Greensboro,2020-05-08,0,0,1886,0,0,North Carolina,0
27455,Greensboro,2020-05-08,15,1,29197,15,1,North Carolina,51.3751412816385
27501,Angier,2020-05-08,19,1,21338,19,1,North Carolina,89.0430218389727
27502,Apex,2020-05-08,29,0,43747,29,0,North Carolina,66.2902599035362
27503,Bahama,2020-05-08,5,0,7222,5,0,North Carolina,69.23289947383
27504,Benson,2020-05-08,20,1,16320,20,1,North Carolina,122.549019607843
27505,Broadway,2020-05-08,26,0,7308,26,0,North Carolina,355.774493705528
27507,Bullock,2020-05-08,3,0,2053,3,0,North Carolina,146.127618119825
27508,Bunn,2020-05-08,3,0,2340,3,0,North Carolina,128.205128205128
27509,Butner,2020-05-08,113,7,6935,113,7,North Carolina,1629.41600576784
27510,Carrboro,2020-05-08,16,0,14543,16,0,North Carolina,110.018565632951
27511,Cary,2020-05-08,20,0,34041,20,0,North Carolina,58.752680591052
27513,Cary,2020-05-08,32,0,49003,32,0,North Carolina,65.3021243597331
27514,Chapel Hill,2020-05-08,62,10,32847,62,10,North Carolina,188.753919688252
27516,Chapel Hill,2020-05-08,40,3,44117,40,3,North Carolina,90.6679964639481
27517,Chapel Hill,2020-05-08,37,0,28831,37,0,North Carolina,128.334084839236
27518,Cary,2020-05-08,13,0,22765,13,0,North Carolina,57.1052053591039
27519,Cary,2020-05-08,31,1,59960,31,1,North Carolina,51.7011340893929
27520,Clayton,2020-05-08,79,14,43958,79,14,North Carolina,179.717002593385
27521,Coats,2020-05-08,6,0,7149,6,0,North Carolina,83.9278220730172
27522,Creedmoor,2020-05-08,16,0,13652,16,0,North Carolina,117.198945209493
27523,Apex,2020-05-08,6,0,12782,6,0,North Carolina,46.9410107964325
27524,Four Oaks,2020-05-08,6,0,13532,6,0,North Carolina,44.3393437777121
27525,Franklinton,2020-05-08,10,0,15534,10,0,North Carolina,64.3749195313506
27526,Fuquay Varina,2020-05-08,24,0,54027,24,0,North Carolina,44.4222333277806
27527,Clayton,2020-05-08,15,0,30234,15,0,North Carolina,49.6130184560429
27529,Garner,2020-05-08,27,0,53854,27,0,North Carolina,50.1355516767557
