county,report_date,reference_date,confirm_death,confirm
Wake,2021-09-25,2021-09-16,1,428
Forsyth,2021-09-25,2021-09-18,2,85
Forsyth,2021-09-25,2021-09-19,2,99
Forsyth,2021-09-25,2021-09-16,2,195
Wake,2021-09-25,2021-09-19,2,143
Wake,2021-09-25,2021-09-14,2,424
Guilford,2021-09-25,2021-09-17,2,265
Guilford,2021-09-25,2021-09-21,2,148
Wake,2021-09-25,2021-09-17,2,396
Guilford,2021-09-25,2021-09-18,3,127
Wake,2021-09-25,2021-09-15,3,493
Forsyth,2021-09-25,2021-09-21,4,113
Guilford,2021-09-25,2021-09-14,4,305
Guilford,2021-09-25,2021-09-15,4,319
Guilford,2021-09-25,2021-09-16,6,272
Guilford,2021-09-26,2021-09-19,0,115
Wake,2021-09-26,2021-09-21,0,337
Wake,2021-09-26,2021-09-22,0,265
Guilford,2021-09-26,2021-09-22,0,77
Guilford,2021-09-26,2021-09-20,0,263
Wake,2021-09-26,2021-09-18,1,311
Forsyth,2021-09-26,2021-09-17,1,191
Forsyth,2021-09-26,2021-09-14,1,242
Forsyth,2021-09-26,2021-09-20,1,212
Forsyth,2021-09-26,2021-09-15,1,250
Wake,2021-09-26,2021-09-20,1,543
Forsyth,2021-09-26,2021-09-22,1,86
Wake,2021-09-26,2021-09-16,1,428
Forsyth,2021-09-26,2021-09-18,2,85
Forsyth,2021-09-26,2021-09-19,2,99
Forsyth,2021-09-26,2021-09-16,2,195
Wake,2021-09-26,2021-09-19,2,143
Wake,2021-09-26,2021-09-14,2,424
Guilford,2021-09-26,2021-09-17,2,265
Guilford,2021-09-26,2021-09-21,2,148
Wake,2021-09-26,2021-09-17,2,396
Guilford,2021-09-26,2021-09-18,3,127
Wake,2021-09-26,2021-09-15,3,493
Forsyth,2021-09-26,2021-09-21,4,113
Guilford,2021-09-26,2021-09-14,4,305
Guilford,2021-09-26,2021-09-15,4,319
Guilford,2021-09-26,2021-09-16,6,272
Forsyth,2021-09-27,2021-09-25,0,32
Forsyth,2021-09-27,2021-09-24,0,98
Guilford,2021-09-27,2021-09-19,0,117
Wake,2021-09-27,2021-09-25,0,40
Wake,2021-09-27,2021-09-24,0,267
Guilford,2021-09-27,2021-09-25,0,47
Wake,2021-09-27,2021-09-23,0,332
Forsyth,2021-09-27,2021-09-23,0,152
Guilford,2021-09-27,2021-09-24,0,132
Guilford,2021-09-27,2021-09-23,0,195
Guilford,2021-09-27,2021-09-20,0,307
Guilford,2021-09-27,2021-09-22,0,245
Wake,2021-09-27,2021-09-18,1,309
Forsyth,2021-09-27,2021-09-17,1,191
Forsyth,2021-09-27,2021-09-14,1,244
Forsyth,2021-09-27,2021-09-15,1,251
Forsyth,2021-09-27,2021-09-20,1,232
Wake,2021-09-27,2021-09-21,1,398
Wake,2021-09-27,2021-09-22,1,398
Wake,2021-09-27,2021-09-16,1,431
Forsyth,2021-09-27,2021-09-18,2,89
Forsyth,2021-09-27,2021-09-16,2,197
Wake,2021-09-27,2021-09-19,2,144
Wake,2021-09-27,2021-09-14,2,426
Guilford,2021-09-27,2021-09-17,2,292
Forsyth,2021-09-27,2021-09-22,2,184
Wake,2021-09-27,2021-09-17,2,396
Guilford,2021-09-27,2021-09-21,2,255
Forsyth,2021-09-27,2021-09-19,3,100
Guilford,2021-09-27,2021-09-18,3,135
Wake,2021-09-27,2021-09-15,3,494
Forsyth,2021-09-27,2021-09-21,4,173
Guilford,2021-09-27,2021-09-14,4,309
Guilford,2021-09-27,2021-09-15,4,320
Wake,2021-09-27,2021-09-20,4,561
Guilford,2021-09-27,2021-09-16,6,296
Forsyth,2021-09-28,2021-09-24,0,140
Wake,2021-09-28,2021-09-25,0,198
Guilford,2021-09-28,2021-09-26,0,42
Wake,2021-09-28,2021-09-26,0,32
Wake,2021-09-28,2021-09-24,0,294
Guilford,2021-09-28,2021-09-25,0,90
Forsyth,2021-09-28,2021-09-23,0,159
Guilford,2021-09-28,2021-09-24,0,198
Guilford,2021-09-28,2021-09-23,0,216
Guilford,2021-09-28,2021-09-22,0,245
Guilford,2021-09-28,2021-09-20,0,306
Forsyth,2021-09-28,2021-09-26,1,36
Forsyth,2021-09-28,2021-09-25,1,54
Guilford,2021-09-28,2021-09-19,1,117
Wake,2021-09-28,2021-09-18,1,309
Forsyth,2021-09-28,2021-09-17,1,191
Forsyth,2021-09-28,2021-09-14,1,244
Forsyth,2021-09-28,2021-09-15,1,251
Forsyth,2021-09-28,2021-09-20,1,232
Wake,2021-09-28,2021-09-23,1,330
Wake,2021-09-28,2021-09-21,1,399
Wake,2021-09-28,2021-09-16,1,431
Forsyth,2021-09-28,2021-09-18,2,89
Forsyth,2021-09-28,2021-09-16,2,197
Wake,2021-09-28,2021-09-22,2,397
Wake,2021-09-28,2021-09-14,2,425
Guilford,2021-09-28,2021-09-17,2,292
Forsyth,2021-09-28,2021-09-22,2,184
Wake,2021-09-28,2021-09-17,2,396
Guilford,2021-09-28,2021-09-21,2,257
Forsyth,2021-09-28,2021-09-19,3,100
Guilford,2021-09-28,2021-09-18,3,134
Wake,2021-09-28,2021-09-15,3,493
Wake,2021-09-28,2021-09-19,3,144
Forsyth,2021-09-28,2021-09-21,4,173
