Reinfection,Total Cases by Date of Specimen collection,Total Antigen Cases by Date of Specimen Collection,Total Molecular Cases by Date of Specimen Collection,Death by Date of Death,County,Date
1,67,12,55,0,Brunswick,2021-12-16
0,26,0,26,0,Greene,2021-12-16
4,74,24,50,1,New Hanover,2021-12-16
1,75,8,67,1,Alamance,2021-12-16
0,52,8,44,0,Harnett,2021-12-16
0,55,19,36,0,Surry,2021-12-16
0,11,0,11,0,Beaufort,2021-12-16
0,30,4,26,0,Chatham,2021-12-16
3,106,42,64,0,Iredell,2021-12-16
0,10,1,9,0,Hoke,2021-12-16
5,112,24,88,2,Gaston,2021-12-16
0,38,3,35,0,Nash,2021-12-16
0,25,11,14,0,Yadkin,2021-12-16
0,28,1,27,0,Lee,2021-12-16
0,7,3,4,0,Swain,2021-12-16
2,71,31,40,0,Catawba,2021-12-16
1,28,18,10,1,Wayne,2021-12-17
0,17,9,8,0,Greene,2021-12-17
2,67,5,62,1,Davidson,2021-12-16
0,22,6,16,1,Haywood,2021-12-17
1,104,24,80,3,Iredell,2021-12-17
1,11,4,7,0,Madison,2021-12-16
0,7,1,6,0,Anson,2021-12-16
0,10,8,2,0,Avery,2021-12-17
0,8,2,6,0,Bladen,2021-12-17
0,51,19,32,0,Henderson,2021-12-17
2,41,7,34,0,Cleveland,2021-12-16
1,21,6,15,1,Jackson,2021-12-16
1,16,4,12,1,Halifax,2021-12-17
1,37,3,34,1,Stanly,2021-12-17
1,18,5,13,0,Granville,2021-12-17
0,30,12,18,0,Davie,2021-12-17
1,97,14,83,3,Forsyth,2021-12-19
1,130,9,121,1,Guilford,2021-12-19
4,45,18,27,0,Randolph,2021-12-19
0,20,5,15,0,Stokes,2021-12-19
0,10,3,7,0,Haywood,2021-12-19
1,27,1,26,1,Rockingham,2021-12-19
1,25,7,18,0,Rowan,2021-12-19
3,33,1,32,0,Alamance,2021-12-19
3,119,4,115,1,Alamance,2021-12-21
2,68,19,49,1,Gaston,2021-12-19
2,261,30,231,2,Forsyth,2021-12-21
0,5,2,3,0,Greene,2021-12-19
5,154,63,91,1,Iredell,2021-12-21
2,85,23,62,0,Randolph,2021-12-21
0,15,0,15,0,Pender,2021-12-19
2,42,8,34,0,Chatham,2021-12-21
5,73,4,69,1,Onslow,2021-12-21
1,20,0,20,0,Dare,2021-12-21
3,88,10,78,1,Rowan,2021-12-21
1,19,7,12,0,Columbus,2021-12-21
1,28,4,24,1,Lee,2021-12-21
1,19,7,12,0,Currituck,2021-12-21
4,64,23,41,1,Robeson,2021-12-21
0,5,2,3,0,Jones,2021-12-21
0,16,7,9,0,Ashe,2021-12-21
29,402,88,314,0,Brunswick,2022-01-05
14,161,51,110,0,Wilkes,2022-01-05
421,6272,228,6044,2,Wake,2022-01-05
43,456,37,419,0,Nash,2022-01-05
45,530,202,328,2,Catawba,2022-01-05
81,646,37,609,1,Pitt,2022-01-05
2,39,20,19,0,Swain,2022-01-05
110,1383,80,1303,1,Durham,2022-01-05
7,110,47,63,3,Iredell,2021-12-26
4,64,3,61,1,Rowan,2021-12-26
77,749,86,663,3,Gaston,2022-01-05
19,204,56,148,0,Scotland,2022-01-05
5,36,10,26,0,Pender,2021-12-26
39,788,113,675,0,Wake,2021-12-26
15,194,88,106,0,Surry,2022-01-05
4,112,14,98,0,Pender,2022-01-05
38,480,69,411,3,Davidson,2022-01-05
30,553,147,406,1,New Hanover,2022-01-05
5,107,18,89,1,Alamance,2021-12-26
14,395,42,353,2,Guilford,2021-12-26
20,229,54,175,0,Craven,2022-01-05
2,27,5,22,0,Jackson,2021-12-26
26,395,20,375,0,Franklin,2022-01-05
10,85,15,70,0,Anson,2022-01-05
2,57,18,39,0,Surry,2021-12-26
1,32,4,28,0,Perquimans,2022-01-05
107,1267,119,1148,2,Cumberland,2022-01-05
4,181,25,156,1,Vance,2022-01-05
6,82,7,75,0,Madison,2022-01-05
3,46,5,41,0,Lincoln,2021-12-26
7,128,18,110,1,Union,2021-12-26
19,263,8,255,1,Edgecombe,2022-01-05
11,108,25,83,0,Pasquotank,2022-01-05
6,127,20,107,2,Hertford,2022-01-05
2,33,13,20,1,Henderson,2021-12-26
2,130,51,79,0,Carteret,2022-01-05
6,78,8,70,0,Martin,2022-01-05
2,12,9,3,0,Yancey,2021-12-26
4,118,23,95,0,Person,2022-01-05
2,25,5,20,0,Alleghany,2022-01-05
6,52,21,31,0,Greene,2022-01-05
1,18,3,15,0,Clay,2022-01-05
1,35,16,19,0,Polk,2022-01-05
76,1023,108,915,4,Forsyth,2022-01-07
33,348,56,292,1,Rowan,2022-01-07
31,441,90,351,2,Harnett,2022-01-07
99,1383,219,1164,4,Guilford,2022-01-07
13,258,50,208,1,Rockingham,2022-01-07
13,161,12,149,0,Lee,2022-01-07
0,11,0,11,1,Gates,2022-01-07
44,555,84,471,2,Gaston,2022-01-07
7,94,25,69,0,Yadkin,2022-01-07
4,49,1,48,0,Caswell,2022-01-07
2,46,2,44,2,Bertie,2022-01-07
14,142,25,117,0,Beaufort,2022-01-07
23,573,79,494,2,Onslow,2022-01-07
9,91,20,71,0,Stokes,2022-01-07
8,140,55,85,0,Carteret,2022-01-07
7,78,0,78,0,Dare,2022-01-07
19,167,14,153,0,Richmond,2022-01-07
3,41,6,35,0,Greene,2022-01-07
5,88,23,65,1,Haywood,2022-01-07
116,1756,267,1489,1,Guilford,2022-01-13
89,1424,150,1274,3,Forsyth,2022-01-13
29,261,57,204,2,Richmond,2022-01-13
48,399,80,319,1,Cleveland,2022-01-13
6,109,1,108,0,Dare,2022-01-13
46,640,61,579,3,Alamance,2022-01-13
70,692,144,548,0,Gaston,2022-01-13
16,273,29,244,1,Rockingham,2022-01-13
21,285,49,236,0,Lee,2022-01-13
7,125,14,111,0,Greene,2022-01-13
12,151,29,122,0,Yadkin,2022-01-13
11,182,34,148,1,Randolph,2022-01-09
9,76,8,68,0,Caswell,2022-01-13
10,85,35,50,0,Stanly,2022-01-09
6,67,16,51,1,Lee,2022-01-09
24,359,71,288,1,Johnston,2022-01-09
15,224,48,176,0,Onslow,2022-01-09
12,220,27,193,0,Pender,2022-01-13
8,123,16,107,0,Jackson,2022-01-13
25,275,59,216,1,Lenoir,2022-01-13
16,276,44,232,0,Alamance,2022-01-09
15,163,44,119,1,Wayne,2022-01-09
3,24,6,18,0,Northampton,2022-01-09
5,25,2,23,0,Clay,2022-01-07
1,40,7,33,0,Columbus,2022-01-09
29,259,45,214,5,Gaston,2022-01-09
10,211,86,125,1,Iredell,2022-01-09
20,205,31,174,0,Beaufort,2022-01-13
11,125,31,94,1,Rowan,2022-01-09
8,93,37,56,1,Wilson,2022-01-09
4,65,33,32,0,Pasquotank,2022-01-13
9,195,85,110,2,Carteret,2022-01-13
21,275,40,235,0,Buncombe,2022-01-09
2,49,9,40,0,Granville,2022-01-09
8,92,5,87,0,Martin,2022-01-13
2,56,13,43,0,Chatham,2022-01-09
2,34,0,34,1,Dare,2022-01-09
2,55,4,51,0,Haywood,2022-01-09
12,158,10,148,1,Vance,2022-01-13
3,39,15,24,0,Swain,2022-01-13
1,14,1,13,0,Warren,2022-01-09
3,48,30,18,0,Watauga,2022-02-14
31,611,51,560,1,Wake,2022-02-14
5,55,21,34,0,Henderson,2022-02-14
28,361,62,299,2,Mecklenburg,2022-02-14
1,19,0,19,0,Halifax,2022-02-14
13,76,32,44,0,Burke,2022-02-14
12,182,18,164,2,Cumberland,2022-02-14
7,117,15,102,2,Onslow,2022-02-14
1,19,1,18,0,Caswell,2022-01-09
7,48,15,33,0,Lincoln,2022-02-14
4,55,14,41,1,Harnett,2022-02-14
1,8,0,8,0,Northampton,2022-02-14
5,54,12,42,1,Caldwell,2022-02-14
3,26,12,14,1,Rutherford,2022-02-14
3,14,8,6,0,Haywood,2022-02-19
1,2,1,1,0,Scotland,2022-02-19
2,13,0,13,0,Edgecombe,2022-02-14
1,13,5,8,0,Alexander,2022-02-14
4,35,14,21,1,Sampson,2022-02-14
4,20,11,9,1,Randolph,2022-02-19
0,35,11,24,1,Union,2022-02-19
0,12,10,2,0,Iredell,2022-02-26
0,2,0,2,0,Currituck,2022-02-26
0,4,0,4,0,Lenoir,2022-02-19
1,26,14,12,0,Henderson,2022-02-19
1,26,8,18,5,Guilford,2022-02-26
12,148,17,131,0,Wake,2022-03-02
1,21,5,16,2,Gaston,2022-03-02
0,10,0,10,0,Dare,2022-03-03
1,6,0,6,0,Avery,2022-03-03
6,51,5,46,1,Cumberland,2022-03-03
1,13,1,12,0,Alamance,2022-03-07
1,16,4,12,0,Davidson,2022-03-07
2,15,1,14,1,Alamance,2022-03-08
0,1,0,1,0,Montgomery,2022-03-08
2,22,4,18,1,Forsyth,2022-03-14
1,30,2,28,1,Cumberland,2022-03-14
0,3,0,3,0,Rockingham,2022-03-14
2,5,3,2,0,Davidson,2022-03-23
1,6,1,5,0,Haywood,2022-03-23
1,5,1,4,0,Chatham,2022-02-19
1,1,0,1,0,Columbus,2022-04-02
0,7,1,6,1,Alamance,2022-04-02
0,2,0,2,0,Perquimans,2022-03-02
1,9,1,8,0,Cleveland,2022-03-02
2,6,4,2,1,Jackson,2022-03-02
2,15,4,11,0,Harnett,2022-03-03
2,17,5,12,0,Cabarrus,2022-03-03
0,3,3,0,0,Henderson,2022-04-04
8,151,18,133,0,Wake,2022-04-05
0,1,1,0,0,Hoke,2022-04-05
1,12,7,5,0,Iredell,2022-04-05
0,14,2,12,1,Gaston,2022-03-07
0,3,1,2,0,Pasquotank,2022-03-07
3,21,8,13,0,Catawba,2022-03-07
4,37,8,29,1,Guilford,2022-03-07
0,14,4,10,0,New Hanover,2022-03-07
0,8,1,7,0,Lenoir,2022-03-07
5,31,6,25,0,Guilford,2022-03-14
5,37,8,29,1,Guilford,2022-03-23
1,21,6,15,6,Rowan,2022-02-19
1,10,2,8,0,Rockingham,2022-02-19
1,4,2,2,1,Randolph,2022-04-12
10,155,26,129,0,Mecklenburg,2022-04-12
0,8,1,7,0,Wayne,2022-04-12
0,1,0,1,0,Onslow,2022-04-02
0,3,1,2,0,Chatham,2022-04-02
0,18,3,15,0,Alamance,2022-04-05
4,25,4,21,0,Cumberland,2022-04-05
0,6,4,2,0,Nash,2022-03-02
3,21,9,12,0,Iredell,2022-03-02
1,11,2,9,0,Carteret,2022-03-02
0,1,0,1,0,Granville,2022-03-06
0,5,0,5,0,Polk,2022-02-26
1,24,6,18,1,Cumberland,2022-04-12
0,4,0,4,0,Vance,2022-03-07
0,8,1,7,0,Moore,2022-03-07
1,3,1,2,1,Davie,2022-03-08
0,1,0,1,0,Greene,2022-03-08
1,24,5,19,1,Union,2022-03-02
1,17,4,13,0,Onslow,2022-03-03
1,15,3,12,4,Guilford,2022-03-06
1,15,3,12,0,Pitt,2022-03-07
3,9,2,7,0,Lee,2022-03-14
1,4,1,3,0,Onslow,2022-03-23
4,12,3,9,1,Cleveland,2022-04-25
12,112,18,94,0,Cumberland,2022-04-25
1,4,0,4,0,Stanly,2022-04-25
11,160,42,118,1,Guilford,2022-04-25
0,21,6,15,0,Davidson,2022-04-25
0,1,0,1,0,Gates,2022-04-25
1,6,4,2,0,Yancey,2022-04-25
0,5,2,3,0,Haywood,2022-04-04
0,6,1,5,0,Harnett,2022-04-05
0,1,0,1,0,Perquimans,2022-04-25
4,57,11,46,0,Alamance,2022-04-25
1,16,2,14,0,Chatham,2022-04-28
4,84,12,72,0,Forsyth,2022-04-28
1,6,2,4,0,Rowan,2022-04-04
3,37,9,28,0,Johnston,2022-04-28
8,112,21,91,0,Guilford,2022-04-28
0,1,0,1,0,Washington,2022-04-05
0,5,4,1,0,Burke,2022-04-28
2,11,4,7,0,Robeson,2022-04-12
11,138,27,111,0,Forsyth,2022-05-02
3,9,4,5,0,Edgecombe,2022-05-02
1,12,4,8,0,Stanly,2022-05-02
2,29,17,12,0,Watauga,2022-05-02
2,14,3,11,0,Halifax,2022-05-02
6,84,22,62,0,Cumberland,2022-05-02
4,27,8,19,0,Chatham,2022-05-03
2,5,2,3,0,Greene,2022-05-03
2,29,11,18,0,Catawba,2022-05-03
1,9,0,9,0,Rockingham,2022-05-03
0,14,6,8,0,Scotland,2022-05-03
2,16,4,12,0,Carteret,2022-05-03
5,33,23,10,0,Robeson,2022-05-05
5,55,10,45,0,Union,2022-05-05
0,10,6,4,0,Columbus,2022-05-02
3,39,10,29,0,Johnston,2022-04-25
8,72,13,59,0,Union,2022-05-03
7,60,10,50,0,Alamance,2022-05-03
2,45,21,24,0,Iredell,2022-05-03
1,11,1,10,0,Lee,2022-05-08
2,4,0,4,0,Wilkes,2022-04-25
0,27,2,25,0,Brunswick,2022-04-25
3,20,10,10,0,Henderson,2022-05-02
0,7,0,7,0,Caswell,2022-04-25
3,12,0,12,0,Dare,2022-05-03
4,33,5,28,0,Pitt,2022-05-03
1,10,1,9,0,Pender,2022-05-03
4,27,3,24,0,Franklin,2022-05-03
2,13,4,9,0,Cleveland,2022-05-03
2,16,2,14,0,Rowan,2022-04-28
2,14,6,8,0,Hoke,2022-05-05
2,4,0,4,0,Halifax,2022-05-14
3,37,6,31,0,Alamance,2022-05-14
1,17,5,12,0,Henderson,2022-05-14
0,5,2,3,0,Greene,2022-05-05
39,642,51,591,0,Wake,2022-05-14
0,2,2,0,0,Polk,2022-05-05
1,42,6,36,0,Johnston,2022-05-14
12,138,24,114,2,Guilford,2022-05-14
2,5,0,5,0,Montgomery,2022-05-02
3,40,10,30,0,New Hanover,2022-05-03
2,7,1,6,0,Lenoir,2022-05-03
1,33,5,28,0,Gaston,2022-05-03
1,56,8,48,0,Forsyth,2022-05-08
3,22,6,16,0,Harnett,2022-05-08
22,235,45,190,0,Guilford,2022-05-17
7,83,7,76,0,Gaston,2022-05-17
14,105,17,88,0,Union,2022-05-17
7,72,16,56,0,Davidson,2022-05-17
2,20,0,20,0,Rowan,2022-05-14
2,11,2,9,0,Caldwell,2022-05-14
0,15,4,11,0,Haywood,2022-05-17
1,12,2,10,0,Stanly,2022-05-14
2,12,4,8,0,Haywood,2022-05-14
1,11,5,6,0,Robeson,2022-05-08
2,27,6,21,0,Hoke,2022-05-17
9,63,22,41,0,Catawba,2022-05-17
6,79,15,64,0,New Hanover,2022-05-17
3,23,5,18,0,Lincoln,2022-05-17
5,22,6,16,0,Columbus,2022-05-17
1,13,8,5,0,Scotland,2022-05-17
2,35,7,28,0,New Hanover,2022-05-21
3,25,10,15,0,Robeson,2022-05-21
3,38,2,36,0,Alamance,2022-05-21
2,17,7,10,0,Lincoln,2022-05-14
1,9,6,3,0,Haywood,2022-05-21
3,16,6,10,0,Watauga,2022-05-14
0,4,1,3,0,Martin,2022-05-14
7,93,11,82,0,Forsyth,2022-05-21
3,63,30,33,1,Craven,2022-05-17
4,30,5,25,0,Rockingham,2022-05-17
15,181,40,141,0,Forsyth,2022-05-25
9,107,23,84,0,Cumberland,2022-05-25
1,17,3,14,0,Pender,2022-05-25
18,209,32,177,0,Guilford,2022-05-25
1,6,0,6,0,Montgomery,2022-05-25
10,69,44,25,0,Robeson,2022-05-25
1,25,14,11,0,Haywood,2022-05-25
5,76,13,63,1,Gaston,2022-05-25
0,5,0,5,0,Bertie,2022-05-17
0,9,0,9,0,Currituck,2022-05-17
11,50,7,43,0,Franklin,2022-05-17
1,12,3,9,0,Beaufort,2022-05-17
4,18,10,8,0,Lenoir,2022-05-25
1,22,4,18,0,Chatham,2022-05-25
8,47,32,15,0,Randolph,2022-05-25
1,9,7,2,0,Yancey,2022-05-25
5,43,6,37,0,Gaston,2022-05-21
25,89,50,39,0,Robeson,2022-05-31
0,17,5,12,0,Columbus,2022-05-31
13,147,26,121,0,Onslow,2022-05-31
4,40,18,22,1,Randolph,2022-05-31
22,224,35,189,0,Forsyth,2022-05-31
2,42,7,35,0,Granville,2022-05-31
25,215,33,182,0,Cumberland,2022-05-31
1,8,3,5,0,Greene,2022-05-31
12,87,18,69,0,Davidson,2022-05-31
1,14,2,12,0,Stokes,2022-05-21
11,72,25,47,0,Harnett,2022-05-31
2,32,7,25,0,Lee,2022-05-31
2,8,5,3,0,Perquimans,2022-05-31
1,26,4,22,0,Burke,2022-05-31
4,35,4,31,0,Rockingham,2022-05-31
3,24,3,21,0,Bladen,2022-05-31
1,4,2,2,0,Pamlico,2022-05-31
0,15,6,9,0,Pasquotank,2022-06-02
2,14,6,8,0,Burke,2022-06-02
10,106,9,97,0,Onslow,2022-06-02
9,34,15,19,0,Randolph,2022-06-02
1,8,2,6,0,Columbus,2022-06-02
2,5,2,3,0,Greene,2022-05-25
0,3,1,2,0,Martin,2022-05-25
0,5,0,5,0,Perquimans,2022-05-25
2,22,8,14,0,Carteret,2022-05-25
15,60,36,24,0,Robeson,2022-06-02
2,14,7,7,0,Wilkes,2022-06-05
1,19,7,12,0,Moore,2022-06-05
5,46,9,37,1,Cabarrus,2022-06-05
26,338,68,270,0,Wake,2022-06-05
5,55,19,36,0,Buncombe,2022-06-05
1,6,0,6,0,Pender,2022-06-05
1,3,0,3,0,Clay,2022-06-05
1,15,0,15,0,Vance,2022-06-05
3,27,11,16,0,Haywood,2022-05-31
0,8,0,8,0,Watauga,2022-06-05
0,13,0,13,0,Burke,2022-06-05
0,10,1,9,0,Currituck,2022-05-31
1,21,11,10,0,Watauga,2022-05-31
2,33,6,27,0,Harnett,2022-06-02
14,156,20,136,0,Cumberland,2022-06-02
2,30,4,26,0,Granville,2022-06-02
2,16,1,15,0,Caswell,2022-06-02
0,22,2,20,0,Harnett,2022-06-05
2,17,2,15,0,Nash,2022-06-05
0,27,19,8,2,Wilkes,2021-12-16
0,9,3,6,0,Perquimans,2021-12-16
0,8,3,5,0,Duplin,2021-12-17
0,15,4,11,1,Pender,2021-12-16
1,7,1,6,0,Northampton,2021-12-17
0,19,6,13,1,Robeson,2021-12-19
0,15,7,8,2,Yadkin,2021-12-19
0,17,4,13,0,Carteret,2021-12-19
2,40,2,38,0,Chatham,2021-12-26
1,4,3,1,1,Mitchell,2021-12-26
4,25,6,19,0,Halifax,2021-12-26
1,15,6,9,0,Mitchell,2022-01-07
2,9,0,9,0,Bertie,2022-01-09
1,4,2,2,1,Yancey,2022-01-09
0,11,5,6,0,Avery,2022-01-09
1,28,4,24,0,Clay,2022-01-13
5,25,12,13,0,Ashe,2022-02-14
3,8,3,5,4,Robeson,2022-02-19
2,33,5,28,1,Forsyth,2022-02-19
0,6,2,4,0,Lee,2022-02-19
0,1,1,0,0,Scotland,2022-02-26
0,2,1,1,0,Macon,2022-02-26
2,7,1,6,2,Lincoln,2022-03-02
2,15,7,8,1,Surry,2022-03-02
1,11,5,6,0,Watauga,2022-03-02
2,17,0,17,1,Brunswick,2022-03-02
2,8,0,8,0,Rowan,2022-02-26
0,1,0,1,0,Pender,2022-03-02
0,3,1,2,0,Mitchell,2022-02-26
0,5,2,3,0,Madison,2022-03-02
2,7,4,3,0,Wayne,2022-03-03
0,14,4,10,0,Forsyth,2022-03-06
0,11,2,9,0,Iredell,2022-03-07
0,4,0,4,0,Richmond,2022-03-07
0,8,1,7,0,Iredell,2022-03-06
0,3,0,3,0,Rockingham,2022-03-06
1,2,0,2,0,Martin,2022-03-07
3,18,7,11,0,Wilkes,2022-03-02
0,5,3,2,0,Clay,2022-03-02
0,3,1,2,0,Tyrrell,2022-03-03
0,4,0,4,0,Yadkin,2022-03-07
0,5,2,3,0,Surry,2022-03-08
1,6,0,6,0,Dare,2022-03-07
0,4,1,3,1,Onslow,2022-03-14
0,12,1,11,0,Rockingham,2022-03-07
1,14,5,9,1,Harnett,2022-03-14
1,13,4,9,0,Cabarrus,2022-03-08
1,3,0,3,0,Pender,2022-03-08
0,9,2,7,0,Johnston,2022-03-08
0,2,0,2,0,Currituck,2022-03-08
0,4,1,3,1,Sampson,2022-03-07
1,5,2,3,1,Cleveland,2022-03-07
1,8,0,8,0,Gaston,2022-03-14
1,4,0,4,0,Rowan,2022-03-23
0,5,1,4,0,Harnett,2022-03-23
1,9,1,8,0,Forsyth,2022-04-02
0,1,0,1,0,Burke,2022-04-02
0,1,0,1,0,Yancey,2022-04-04
0,2,1,1,0,Onslow,2022-04-04
1,9,1,8,0,Gaston,2022-04-05
0,1,1,0,0,Scotland,2022-04-05
3,11,4,7,1,Guilford,2022-04-02
0,4,0,4,0,Caldwell,2022-04-02
0,3,1,2,0,Madison,2022-04-05
4,15,6,9,0,Davidson,2022-04-05
1,24,5,19,0,Henderson,2022-04-12
1,20,3,17,2,Gaston,2022-04-12
0,9,0,9,0,Onslow,2022-04-12
0,1,0,1,0,Camden,2022-04-12
0,6,1,5,0,Beaufort,2022-04-28
1,6,1,5,0,Haywood,2022-04-28
1,2,1,1,0,Perquimans,2022-04-28
1,1,0,1,0,Montgomery,2022-04-28
2,25,5,20,0,Gaston,2022-04-28
0,3,0,3,0,Northampton,2022-05-02
0,16,6,10,0,Person,2022-05-02
0,27,5,22,0,Granville,2022-05-02
0,6,4,2,0,Pamlico,2022-05-02
2,29,1,28,0,Davidson,2022-05-03
1,9,1,8,0,Beaufort,2022-05-02
1,7,3,4,1,Jackson,2022-05-02
2,13,8,5,0,Hoke,2022-05-03
3,9,1,8,1,Wilkes,2022-05-03
6,19,8,11,0,Randolph,2022-05-05
1,29,6,23,0,Chatham,2022-05-05
1,3,3,0,0,Yancey,2022-05-05
1,5,3,2,0,Currituck,2022-05-08
2,39,8,31,0,Cumberland,2022-05-08
2,16,10,6,0,Randolph,2022-05-08
2,14,5,9,1,Onslow,2022-05-08
0,1,0,1,0,Bertie,2022-05-14
2,5,2,3,0,Montgomery,2022-05-14
2,3,3,0,0,Yancey,2022-05-14
1,9,1,8,0,Pender,2022-05-14
1,18,2,16,0,Rockingham,2022-05-14
1,15,1,14,0,Chatham,2022-05-14
1,20,5,15,0,Yadkin,2022-05-17
0,21,7,14,0,Carteret,2022-05-17
1,19,5,14,0,Vance,2022-05-17
1,4,0,4,0,Bertie,2022-05-21
1,16,6,10,0,Yadkin,2022-05-25
2,48,15,33,0,Harnett,2022-05-25
1,26,6,20,0,Lee,2022-05-25
1,4,2,2,0,Bertie,2022-05-25
2,8,3,5,0,Northampton,2022-05-25
0,15,4,11,0,Martin,2022-05-31
2,14,6,8,0,Northampton,2022-05-31
0,16,9,7,0,Haywood,2022-06-02
2,25,7,18,0,Lee,2022-06-02
1,22,3,19,0,Watauga,2022-06-02
1,6,2,4,0,Rutherford,2022-06-05
6,55,9,46,0,Cumberland,2022-06-05
3,28,2,26,0,Brunswick,2022-06-05
0,6,1,5,0,Duplin,2022-06-05
0,1,0,1,0,Pamlico,2022-06-05
0,13,2,11,0,Lenoir,2021-12-16
0,13,1,12,0,Carteret,2021-12-16
1,10,1,9,0,Lee,2021-12-19
1,8,0,8,0,Dare,2021-12-19
0,4,1,3,0,Jones,2021-12-17
0,3,0,3,0,Chowan,2021-12-19
0,6,2,4,0,Mitchell,2021-12-21
0,14,2,12,0,Onslow,2021-12-19
0,1,1,0,0,Swain,2021-12-19
0,5,1,4,0,Pamlico,2021-12-26
0,5,0,5,0,Tyrrell,2022-01-07
0,9,2,7,1,Martin,2022-02-26
0,1,0,1,0,Scotland,2022-03-02
0,9,3,6,2,Iredell,2022-03-08
0,2,0,2,0,Duplin,2022-04-05
0,4,2,2,0,Surry,2022-04-05
0,7,0,7,0,Franklin,2022-02-19
1,4,1,3,0,Greene,2022-03-03
0,2,0,2,1,Swain,2022-03-07
0,8,2,6,0,Robeson,2022-03-14
0,5,4,1,0,Pender,2022-03-14
1,13,4,9,0,Pender,2022-04-25
1,3,0,3,0,Caldwell,2022-03-14
1,4,0,4,0,Lee,2022-04-04
1,11,8,3,0,Robeson,2022-04-04
4,16,4,12,0,Harnett,2022-04-28
0,1,1,0,0,Bertie,2022-04-12
1,1,1,0,0,Currituck,2022-05-02
0,4,0,4,0,Chatham,2022-02-26
1,7,0,7,0,Jackson,2022-02-26
1,4,3,1,0,Ashe,2022-03-03
0,3,1,2,0,Jackson,2022-05-05
0,1,0,1,0,Jackson,2022-03-07
2,10,0,10,0,Dare,2022-04-25
0,2,1,1,0,Greene,2022-04-25
0,4,0,4,0,Bertie,2022-04-28
0,4,1,3,0,Lenoir,2022-04-28
2,14,4,10,0,Brunswick,2022-04-05
0,3,0,3,0,Pasquotank,2022-04-12
0,10,5,5,0,Jackson,2022-05-03
4,20,5,15,0,Stokes,2022-05-17
0,4,1,3,0,Macon,2022-05-17
0,2,2,0,0,Swain,2022-05-17
1,10,1,9,0,Pender,2022-05-05
2,11,4,7,0,Surry,2022-04-25
0,10,3,7,0,Currituck,2022-05-21
0,4,2,2,0,Warren,2022-05-02
2,7,0,7,0,Beaufort,2022-05-03
5,21,7,14,0,Halifax,2022-05-25
1,12,9,3,0,Richmond,2022-05-17
0,9,0,9,0,Caswell,2022-05-31
0,3,0,3,0,Montgomery,2022-05-21
1,14,0,14,0,Caldwell,2022-06-05
3,6,3,3,0,Alleghany,2022-06-02
3,7,0,7,0,Bladen,2022-06-05
0,6,0,6,0,Pasquotank,2022-06-05
0,4,2,2,0,Pamlico,2022-06-02
0,5,0,5,0,Granville,2022-06-05
0,2,0,2,0,Gates,2021-12-17
0,1,0,1,0,Clay,2021-12-16
0,6,2,4,0,Scotland,2021-12-16
0,7,0,7,0,Bertie,2021-12-16
0,1,0,1,0,Clay,2021-12-19
0,6,1,5,0,Warren,2021-12-21
0,1,0,1,0,Hyde,2021-12-26
0,3,0,3,0,Gates,2022-01-09
0,5,1,4,0,Camden,2022-01-09
0,3,0,3,0,Hyde,2022-01-09
2,13,0,13,1,Montgomery,2022-02-14
0,4,2,2,0,Yancey,2022-02-19
2,14,4,10,1,Union,2022-02-26
0,7,3,4,0,Moore,2022-02-26
0,3,0,3,1,Stanly,2022-03-03
0,10,2,8,1,Union,2022-03-07
0,16,1,15,0,Rowan,2022-03-02
0,3,0,3,0,Hoke,2022-02-26
0,4,3,1,0,Henderson,2022-03-08
0,7,0,7,0,Caldwell,2022-03-06
2,9,5,4,0,Scotland,2022-03-07
1,4,0,4,1,Beaufort,2022-03-07
0,7,1,6,0,Lenoir,2022-03-02
0,3,1,2,0,Edgecombe,2022-03-07
0,4,0,4,0,Dare,2022-03-08
1,8,3,5,0,Lincoln,2022-03-07
3,11,3,8,0,Caldwell,2022-03-03
1,3,2,1,0,Avery,2022-03-08
2,9,1,8,1,Harnett,2022-03-08
0,3,0,3,0,Currituck,2022-03-06
0,4,3,1,0,Ashe,2022-03-08
3,10,4,6,0,Iredell,2022-03-24
1,8,0,8,0,Alamance,2022-03-23
1,3,1,2,0,Randolph,2022-04-04
0,3,0,3,0,Onslow,2022-03-24
0,2,0,2,0,Surry,2022-03-24
1,2,1,1,1,Henderson,2022-03-24
0,1,1,0,0,Burke,2022-04-04
1,1,0,1,0,Warren,2022-04-12
0,4,0,4,0,Caldwell,2022-04-12
0,11,3,8,0,Johnston,2022-04-12
0,3,1,2,0,Granville,2022-04-12
0,1,0,1,0,Davie,2022-04-12
0,4,0,4,0,Macon,2022-04-25
1,8,3,5,0,Beaufort,2022-04-25
2,9,2,7,0,Hoke,2022-04-25
0,2,0,2,0,Stanly,2022-04-28
0,4,0,4,0,Cherokee,2022-05-03
4,23,8,15,0,Rowan,2022-05-05
1,1,0,1,0,Macon,2022-05-05
0,5,1,4,0,Richmond,2022-05-03
1,7,2,5,0,Surry,2022-05-05
0,6,1,5,0,Lee,2022-05-05
0,7,6,1,0,Watauga,2022-05-08
0,1,0,1,0,Martin,2022-05-08
0,2,0,2,0,Bladen,2022-05-08
0,8,0,8,0,Burke,2022-05-14
0,5,0,5,0,Anson,2022-05-25
5,21,12,9,0,Richmond,2022-05-25
1,9,4,5,0,Martin,2022-06-02
4,17,3,14,0,Caldwell,2022-06-02
