OBJECTID,COUNTYFP10,GEOID10,TotalVax,TotalPop,PctTotal,NAME10,Pop18Up,Pop16Up,GeoName,FIPS,SVI,UpdateDTS
1433,025,37025040900,437,2003,27.1428571428571,Cabarrus,1583,1610,"Census Tract 409, Cabarrus County, North Carolina",37025040900,0.577,202105071931
1451,025,37025042602,770,4177,24.4444444444444,Cabarrus,2956,3150,"Census Tract 426.02, Cabarrus County, North Carolina",37025042602,0.4669,202105071931
1492,025,37025041601,1702,8634,25.1329001772002,Cabarrus,6650,6772,"Census Tract 416.01, Cabarrus County, North Carolina",37025041601,0.3008,202105071931
1493,025,37025041301,1536,6861,28.6246738725307,Cabarrus,5038,5366,"Census Tract 413.01, Cabarrus County, North Carolina",37025041301,0.3272,202105071931
1494,025,37025042402,772,6715,15.6560535388359,Cabarrus,4777,4931,"Census Tract 424.02, Cabarrus County, North Carolina",37025042402,0.8371,202105071931
1523,025,37025042000,881,5115,20.4836084631481,Cabarrus,4016,4301,"Census Tract 420, Cabarrus County, North Carolina",37025042000,0.745,202105071931
1532,025,37025041701,843,4025,24.9925882004151,Cabarrus,3176,3373,"Census Tract 417.01, Cabarrus County, North Carolina",37025041701,0.2795,202105071931
1555,025,37025041000,896,5842,20.23030029352,Cabarrus,4239,4429,"Census Tract 410, Cabarrus County, North Carolina",37025041000,0.8866,202105071931
1556,025,37025042200,1928,7066,33.1727460426703,Cabarrus,5519,5812,"Census Tract 422, Cabarrus County, North Carolina",37025042200,0.3498,202105071931
1557,025,37025040703,419,2763,22.1927966101695,Cabarrus,1785,1888,"Census Tract 407.03, Cabarrus County, North Carolina",37025040703,0.9769,202105071931
1558,025,37025041501,3240,11311,38.8582393859439,Cabarrus,7968,8338,"Census Tract 415.01, Cabarrus County, North Carolina",37025041501,0.0486,202105071931
1559,025,37025041502,1849,8018,29.4379875815953,Cabarrus,6052,6281,"Census Tract 415.02, Cabarrus County, North Carolina",37025041502,0.1009,202105071931
1560,025,37025042501,1259,4171,35.0111234705228,Cabarrus,3509,3596,"Census Tract 425.01, Cabarrus County, North Carolina",37025042501,0.0981,202105071931
1631,025,37025040702,1277,7143,24.2131209708002,Cabarrus,5104,5274,"Census Tract 407.02, Cabarrus County, North Carolina",37025040702,0.8158,202105071931
1632,025,37025042401,1109,3544,37.9924631723193,Cabarrus,2850,2919,"Census Tract 424.01, Cabarrus County, North Carolina",37025042401,0.435,202105071931
1634,025,37025041503,870,4333,25.8083654701869,Cabarrus,3238,3371,"Census Tract 415.03, Cabarrus County, North Carolina",37025041503,0.0319,202105071931
1635,025,37025041602,708,3982,21.267647942325,Cabarrus,3241,3329,"Census Tract 416.02, Cabarrus County, North Carolina",37025041602,0.2286,202105071931
1636,025,37025042502,532,2660,23.9208633093525,Cabarrus,2192,2224,"Census Tract 425.02, Cabarrus County, North Carolina",37025042502,0.6465,202105071931
1637,025,37025042504,502,1595,37.9440665154951,Cabarrus,1283,1323,"Census Tract 425.04, Cabarrus County, North Carolina",37025042504,0.0093,202105071931
1638,025,37025042601,1823,5264,42.405210514073,Cabarrus,4133,4299,"Census Tract 426.01, Cabarrus County, North Carolina",37025042601,0.1518,202105071931
1700,025,37025040800,669,3760,23.2372351510941,Cabarrus,2817,2879,"Census Tract 408, Cabarrus County, North Carolina",37025040800,0.7594,202105071931
1702,025,37025041702,599,3672,19.2914653784219,Cabarrus,3013,3105,"Census Tract 417.02, Cabarrus County, North Carolina",37025041702,0.2841,202105071931
1703,025,37025042102,504,3937,17.0385395537525,Cabarrus,2688,2958,"Census Tract 421.02, Cabarrus County, North Carolina",37025042102,0.7168,202105071931
1727,025,37025042300,1015,4078,31.6297912122156,Cabarrus,3178,3209,"Census Tract 423, Cabarrus County, North Carolina",37025042300,0.9024,202105071931
1728,025,37025041902,572,4239,18.5113268608414,Cabarrus,2899,3090,"Census Tract 419.02, Cabarrus County, North Carolina",37025041902,0.9796,202105071931
1729,025,37025042101,415,3180,17.988729952319,Cabarrus,2262,2307,"Census Tract 421.01, Cabarrus County, North Carolina",37025042101,0.9722,202105071931
1730,025,37025040701,260,1671,19.8321891685736,Cabarrus,1294,1311,"Census Tract 407.01, Cabarrus County, North Carolina",37025040701,0.4026,202105071931
1731,025,37025041901,218,2216,13.974358974359,Cabarrus,1523,1560,"Census Tract 419.01, Cabarrus County, North Carolina",37025041901,0.9597,202105071931
172,027,37027031300,2259,8912,30.831172376143,Caldwell,6888,7327,"Census Tract 313, Caldwell County, North Carolina",37027031300,0.273,202105071931
181,027,37027031202,900,4387,25.5827174530984,Caldwell,3464,3518,"Census Tract 312.02, Caldwell County, North Carolina",37027031202,0.4415,202105071931
204,027,37027030500,1698,4940,42.1339950372208,Caldwell,3910,4030,"Census Tract 305, Caldwell County, North Carolina",37027030500,0.4965,202105071931
217,027,37027030200,1036,4712,26.9160820992466,Caldwell,3808,3849,"Census Tract 302, Caldwell County, North Carolina",37027030200,0.8524,202105071931
218,027,37027030100,1258,5448,28.5974085019323,Caldwell,4175,4399,"Census Tract 301, Caldwell County, North Carolina",37027030100,0.8963,202105071931
242,027,37027031100,1133,4252,32.3160296634341,Caldwell,3440,3506,"Census Tract 311, Caldwell County, North Carolina",37027031100,0.4572,202105071931
243,027,37027030300,957,4170,28.7992777610593,Caldwell,3197,3323,"Census Tract 303, Caldwell County, North Carolina",37027030300,0.9232,202105071931
244,027,37027030800,1678,7646,27.0122343850612,Caldwell,6057,6212,"Census Tract 308, Caldwell County, North Carolina",37027030800,0.5534,202105071931
245,027,37027031201,1094,4500,28.0872913992298,Caldwell,3820,3895,"Census Tract 312.01, Caldwell County, North Carolina",37027031201,0.3128,202105071931
246,027,37027031402,777,3357,28.1930333817126,Caldwell,2678,2756,"Census Tract 314.02, Caldwell County, North Carolina",37027031402,0.4151,202105071931
270,027,37027031000,775,3226,28.3778835591358,Caldwell,2644,2731,"Census Tract 310, Caldwell County, North Carolina",37027031000,0.2397,202105071931
271,027,37027030400,1106,3947,33.2231901471914,Caldwell,3212,3329,"Census Tract 304, Caldwell County, North Carolina",37027030400,0.8533,202105071931
275,027,37027030900,1096,4695,27.7679250063339,Caldwell,3888,3947,"Census Tract 309, Caldwell County, North Carolina",37027030900,0.3184,202105071931
276,027,37027030700,1565,7027,26.4447448462318,Caldwell,5742,5918,"Census Tract 307, Caldwell County, North Carolina",37027030700,0.5849,202105071931
288,027,37027031403,509,2531,25.9959141981614,Caldwell,1844,1958,"Census Tract 314.03, Caldwell County, North Carolina",37027031403,0.8579,202105071931
293,027,37027031401,759,3423,27.0491803278689,Caldwell,2703,2806,"Census Tract 314.01, Caldwell County, North Carolina",37027031401,0.323,202105071931
294,027,37027030600,1124,4711,29.5400788436268,Caldwell,3724,3805,"Census Tract 306, Caldwell County, North Carolina",37027030600,0.4452,202105071931
1837,029,37029950102,941,4827,24.6981627296588,Camden,3693,3810,"Census Tract 9501.02, Camden County, North Carolina",37029950102,0.4826,202105071931
1962,029,37029950101,920,5724,20.2420242024202,Camden,4465,4545,"Census Tract 9501.01, Camden County, North Carolina",37029950101,0.4243,202105071931
16,031,37031970701,290,1105,30.9168443496802,Carteret,900,938,"Census Tract 9707.01, Carteret County, North Carolina",37031970701,0.5169,202105071931
18,031,37031970901,653,1196,62.3686723973257,Carteret,1003,1047,"Census Tract 9709.01, Carteret County, North Carolina",37031970901,0.1314,202105071931
20,031,37031970403,493,1230,44.1756272401434,Carteret,1101,1116,"Census Tract 9704.03, Carteret County, North Carolina",37031970403,0.1832,202105071931
21,031,37031970702,791,3011,32.4047521507579,Carteret,2317,2441,"Census Tract 9707.02, Carteret County, North Carolina",37031970702,0.4063,202105071931
41,031,37031970805,368,1847,25.0169952413324,Carteret,1430,1471,"Census Tract 9708.05, Carteret County, North Carolina",37031970805,0.3984,202105071931
42,031,37031970301,1589,4578,42.577706323687,Carteret,3656,3732,"Census Tract 9703.01, Carteret County, North Carolina",37031970301,0.3387,202105071931
43,031,37031970802,661,2130,38.85949441505,Carteret,1628,1701,"Census Tract 9708.02, Carteret County, North Carolina",37031970802,0.2443,202105071931
45,031,37031971002,788,1343,65.016501650165,Carteret,1200,1212,"Census Tract 9710.02, Carteret County, North Carolina",37031971002,0.1111,202105071931
78,031,37031970703,1236,5363,27.6262852033974,Carteret,4331,4474,"Census Tract 9707.03, Carteret County, North Carolina",37031970703,0.6451,202105071931
80,031,37031970704,601,2330,31.8494965553789,Carteret,1843,1887,"Census Tract 9707.04, Carteret County, North Carolina",37031970704,0.497,202105071931
100,031,37031970102,644,2394,30.9615384615385,Carteret,1985,2080,"Census Tract 9701.02, Carteret County, North Carolina",37031970102,0.23,202105071931
110,031,37031970601,288,1458,22.623723487824,Carteret,1250,1273,"Census Tract 9706.01, Carteret County, North Carolina",37031970601,0.3799,202105071931
111,031,37031970803,599,1584,46.183500385505,Carteret,1250,1297,"Census Tract 9708.03, Carteret County, North Carolina",37031970803,0.1032,202105071931
112,031,37031970804,1233,3532,45.3976435935199,Carteret,2624,2716,"Census Tract 9708.04, Carteret County, North Carolina",37031970804,0.1865,202105071931
115,031,37031970605,641,1408,51.1980830670926,Carteret,1229,1252,"Census Tract 9706.05, Carteret County, North Carolina",37031970605,0.1745,202105071931
116,031,37031970801,801,3106,31.046511627907,Carteret,2490,2580,"Census Tract 9708.01, Carteret County, North Carolina",37031970801,0.2753,202105071931
126,031,37031970304,924,2209,48.9925768822906,Carteret,1863,1886,"Census Tract 9703.04, Carteret County, North Carolina",37031970304,0.3318,202105071931
127,031,37031970902,619,1379,51.2841756420878,Carteret,1207,1207,"Census Tract 9709.02, Carteret County, North Carolina",37031970902,0.1509,202105071931
128,031,37031970504,641,1858,45.7857142857143,Carteret,1353,1400,"Census Tract 9705.04, Carteret County, North Carolina",37031970504,0.2457,202105071931
129,031,37031970603,302,1371,26.2380538662033,Carteret,1139,1151,"Census Tract 9706.03, Carteret County, North Carolina",37031970603,0.4831,202105071931
131,031,37031970903,593,1128,57.7409931840312,Carteret,1001,1027,"Census Tract 9709.03, Carteret County, North Carolina",37031970903,0.0375,202105071931
132,031,37031970604,1061,2167,58.2967032967033,Carteret,1787,1820,"Census Tract 9706.04, Carteret County, North Carolina",37031970604,0.0722,202105071931
134,031,37031970501,743,3073,31.4830508474576,Carteret,2329,2360,"Census Tract 9705.01, Carteret County, North Carolina",37031970501,0.8441,202105071931
136,031,37031970502,827,2379,40.9811694747275,Carteret,1995,2018,"Census Tract 9705.02, Carteret County, North Carolina",37031970502,0.0403,202105071931
137,031,37031970103,784,2743,31.4480545527477,Carteret,2395,2493,"Census Tract 9701.03, Carteret County, North Carolina",37031970103,0.4466,202105071931
138,031,37031970401,519,1591,35.4266211604096,Carteret,1456,1465,"Census Tract 9704.01, Carteret County, North Carolina",37031970401,0.7927,202105071931
139,031,37031970200,414,1260,37.8082191780822,Carteret,1070,1095,"Census Tract 9702, Carteret County, North Carolina",37031970200,0.4558,202105071931
140,031,37031970302,386,1174,37.1511068334937,Carteret,1011,1039,"Census Tract 9703.02, Carteret County, North Carolina",37031970302,0.5798,202105071931
141,031,37031970303,352,1037,35.3768844221106,Carteret,979,995,"Census Tract 9703.03, Carteret County, North Carolina",37031970303,0.4299,202105071931
142,031,37031970503,716,2307,37.0792335577421,Carteret,1898,1931,"Census Tract 9705.03, Carteret County, North Carolina",37031970503,0.4248,202105071931
143,031,37031971101,439,1268,37.7472055030095,Carteret,1144,1163,"Census Tract 9711.01, Carteret County, North Carolina",37031971101,0.1606,202105071931
144,031,37031970101,235,959,27.7777777777778,Carteret,840,846,"Census Tract 9701.01, Carteret County, North Carolina",37031970101,0.3869,202105071931
145,031,37031970602,492,1157,48.857994041708,Carteret,962,1007,"Census Tract 9706.02, Carteret County, North Carolina",37031970602,0.0509,202105071931
146,031,37031971001,155,520,31.8930041152263,Carteret,472,486,"Census Tract 9710.01, Carteret County, North Carolina",37031971001,0.1629,202105071931
147,031,37031971102,175,560,33.2068311195446,Carteret,504,527,"Census Tract 9711.02, Carteret County, North Carolina",37031971102,0.4405,202105071931
148,031,37031970402,429,1315,36.1720067453626,Carteret,1157,1186,"Census Tract 9704.02, Carteret County, North Carolina",37031970402,0.6733,202105071931
149,031,37031980100,,0,,Carteret,0,0,"Census Tract 9801, Carteret County, North Carolina",37031980100,-999,202105071931
150,031,37031990100,,0,,Carteret,0,0,"Census Tract 9901, Carteret County, North Carolina",37031990100,-999,202105071931
151,031,37031990200,,0,,Carteret,0,0,"Census Tract 9902, Carteret County, North Carolina",,,202105071931
