OBJECTID,COUNTYFP10,GEOID10,GeoName,FIPS,County,ZIP,TotalPop,Pop12Up,TotalVax,PctVax12Up,SVI,UpdateDTS
852,001,37001021101,"Census Tract 211.01, Alamance County, North Carolina",37001021101,Alamance,27253,2718,2308,1323,57.3223570190641,0.6747,202110251631
875,001,37001020602,"Census Tract 206.02, Alamance County, North Carolina",37001020602,Alamance,27215,2638,2358,1530,64.8854961832061,0.3457,202110251631
876,001,37001021701,"Census Tract 217.01, Alamance County, North Carolina",37001021701,Alamance,27215,3432,3208,2223,69.2955112219451,0.218,202110251631
877,001,37001021207,"Census Tract 212.07, Alamance County, North Carolina",37001021207,Alamance,27302,3476,2822,1582,56.0595322466336,0.5576,202110251631
892,001,37001020400,"Census Tract 204, Alamance County, North Carolina",37001020400,Alamance,27217,6746,5265,2748,52.1937321937322,0.9607,202110251631
893,001,37001021300,"Census Tract 213, Alamance County, North Carolina",37001021300,Alamance,27217,6018,5345,2811,52.5912067352666,0.4489,202110251631
931,001,37001020300,"Census Tract 203, Alamance County, North Carolina",37001020300,Alamance,27217,7400,6147,3588,58.3699365544168,0.9773,202110251631
934,001,37001020901,"Census Tract 209.01, Alamance County, North Carolina",37001020901,Alamance,27215,3406,2759,1810,65.6034795215658,0.6719,202110251631
935,001,37001020502,"Census Tract 205.02, Alamance County, North Carolina",37001020502,Alamance,27217,4012,3262,1671,51.2262415695892,0.9579,202110251631
936,001,37001020701,"Census Tract 207.01, Alamance County, North Carolina",37001020701,Alamance,27215,4973,4506,2689,59.6759875721261,0.4993,202110251631
954,001,37001021500,"Census Tract 215, Alamance County, North Carolina",37001021500,Alamance,27202,4760,4056,1822,44.9211045364892,0.4109,202110251631
955,001,37001020501,"Census Tract 205.01, Alamance County, North Carolina",37001020501,Alamance,27215,3819,3178,1791,56.3561988672121,0.6127,202110251631
957,001,37001021102,"Census Tract 211.02, Alamance County, North Carolina",37001021102,Alamance,27253,3369,2757,1431,51.9042437431991,0.77,202110251631
969,001,37001021400,"Census Tract 214, Alamance County, North Carolina",37001021400,Alamance,27217,2748,2423,1174,48.4523318200578,0.4618,202110251631
970,001,37001021000,"Census Tract 210, Alamance County, North Carolina",37001021000,Alamance,27217,3999,3227,1617,50.1084598698482,0.9783,202110251631
1058,001,37001021204,"Census Tract 212.04, Alamance County, North Carolina",37001021204,Alamance,27253,4976,4167,2168,52.0278377729782,0.3406,202110251631
1059,001,37001021201,"Census Tract 212.01, Alamance County, North Carolina",37001021201,Alamance,27217,5565,4610,2096,45.4663774403471,0.82,202110251631
1060,001,37001020200,"Census Tract 202, Alamance County, North Carolina",37001020200,Alamance,27217,4093,3351,1711,51.0593852581319,0.9324,202110251631
1064,001,37001021703,"Census Tract 217.03, Alamance County, North Carolina",37001021703,Alamance,27215,6408,5530,3499,63.2730560578662,0.3466,202110251631
1065,001,37001020601,"Census Tract 206.01, Alamance County, North Carolina",37001020601,Alamance,27215,3113,2722,2241,82.3291697281411,0.0227,202110251631
1066,001,37001021702,"Census Tract 217.02, Alamance County, North Carolina",37001021702,Alamance,27215,6911,6459,2616,40.5016256386438,0.2517,202110251631
1072,001,37001020902,"Census Tract 209.02, Alamance County, North Carolina",37001020902,Alamance,27215,3459,3059,2038,66.6230794377247,0.5035,202110251631
1073,001,37001021901,"Census Tract 219.01, Alamance County, North Carolina",37001021901,Alamance,27215,4819,4263,1732,40.6286652592071,0.1596,202110251631
1074,001,37001021803,"Census Tract 218.03, Alamance County, North Carolina",37001021803,Alamance,27298,3246,2882,1054,36.5718251214434,0.2073,202110251631
1075,001,37001021205,"Census Tract 212.05, Alamance County, North Carolina",37001021205,Alamance,27302,6830,5850,3052,52.1709401709402,0.4382,202110251631
1076,001,37001021902,"Census Tract 219.02, Alamance County, North Carolina",37001021902,Alamance,27253,4139,3628,1903,52.4531422271224,0.1624,202110251631
