OBJECTID,COUNTYFP10,GEOID10,TotalVax,TotalPop,PctTotal,NAME10,Pop18Up,Pop16Up,UpdateDTS
381,013,37013930300,1065,3714,36.3109444255029,Beaufort,2807,2933,202105041931
382,013,37013930502,767,3866,24.7499193288157,Beaufort,3007,3099,202105041931
417,013,37013930400,1534,4724,40.3578005787951,Beaufort,3674,3801,202105041931
449,013,37013930600,838,3174,30.3733236679956,Beaufort,2648,2759,202105041931
713,013,37013930100,1063,4981,26.3314342333416,Beaufort,3929,4037,202105041931
1376,015,37015960400,1625,6535,29.2581922938423,Bertie,5412,5554,202105041931
1463,015,37015960100,1139,5616,23.1692432872254,Bertie,4809,4916,202105041931
1588,015,37015960200,615,3953,19.4128787878788,Bertie,3085,3168,202105041931
1652,015,37015960300,440,3276,16,Bertie,2680,2750,202105041931
1377,017,37017950400,1425,6281,27.1635531833778,Bladen,5006,5246,202105041931
1524,017,37017950500,1126,6646,19.7197898423818,Bladen,5503,5710,202105041931
1525,017,37017950600,1207,5752,25.8679811401629,Bladen,4534,4666,202105041931
1589,017,37017950200,460,3099,18.1459566074951,Bladen,2471,2535,202105041931
1708,017,37017950300,1082,6549,21.1452022669533,Bladen,4974,5117,202105041931
1749,017,37017950100,1138,5080,28.485607008761,Bladen,3928,3995,202105041931
1309,019,37019020103,3880,8929,52.7747551686616,Brunswick,7062,7352,202105041931
1310,019,37019020202,3570,9327,45.8750963762529,Brunswick,7733,7782,202105041931
1311,019,37019020304,5351,8049,70.5564345991561,Brunswick,7491,7584,202105041931
1312,019,37019020309,1415,2968,52.1562845558422,Brunswick,2669,2713,202105041931
1314,019,37019020204,1802,6847,33.4881992194759,Brunswick,5227,5381,202105041931
1346,019,37019020602,1155,5378,25.0814332247557,Brunswick,4465,4605,202105041931
1352,019,37019020507,2896,7639,41.4069202173291,Brunswick,6917,6994,202105041931
1354,019,37019020303,1546,4029,43.3053221288515,Brunswick,3550,3570,202105041931
1355,019,37019020305,1387,2795,60.8867427568042,Brunswick,2252,2278,202105041931
1357,019,37019020508,1598,2992,54.8575351870923,Brunswick,2913,2913,202105041931
1395,019,37019020102,1492,5186,34.9087505849322,Brunswick,4162,4274,202105041931
1416,019,37019020101,581,2554,26.1123595505618,Brunswick,2159,2225,202105041931
1432,019,37019020306,1050,2167,55.0603041426324,Brunswick,1881,1907,202105041931
1490,019,37019020308,936,1896,54.9941245593419,Brunswick,1697,1702,202105041931
1520,019,37019020601,1079,4826,27.8811369509044,Brunswick,3713,3870,202105041931
1521,019,37019020404,721,2800,29.3089430894309,Brunswick,2358,2460,202105041931
1522,019,37019020310,1141,2568,47.4034067303698,Brunswick,2387,2407,202105041931
1530,019,37019020511,928,2412,42.9430819065248,Brunswick,2147,2161,202105041931
1538,019,37019020402,1022,3393,34.1691741892344,Brunswick,2978,2991,202105041931
