OBJECTID,COUNTYFP10,GEOID10,GeoName,FIPS,County,ZIP,TotalPop,Pop12Up,TotalVax,PctVax12Up,SVI,UpdateDTS
852,001,37001021101,"Census Tract 211.01, Alamance County, North Carolina",37001021101,Alamance,27253,2718,2308,1471,54.1206769683591,0.6747,202111091931
875,001,37001020602,"Census Tract 206.02, Alamance County, North Carolina",37001020602,Alamance,27215,2638,2358,1669,63.267626990144,0.3457,202111091931
876,001,37001021701,"Census Tract 217.01, Alamance County, North Carolina",37001021701,Alamance,27215,3432,3208,2339,68.1526806526807,0.218,202111091931
877,001,37001021207,"Census Tract 212.07, Alamance County, North Carolina",37001021207,Alamance,27302,3476,2822,1706,49.0794016110472,0.5576,202111091931
892,001,37001020400,"Census Tract 204, Alamance County, North Carolina",37001020400,Alamance,27217,6746,5265,3023,44.8117402905425,0.9607,202111091931
893,001,37001021300,"Census Tract 213, Alamance County, North Carolina",37001021300,Alamance,27217,6018,5345,3087,51.296111665005,0.4489,202111091931
931,001,37001020300,"Census Tract 203, Alamance County, North Carolina",37001020300,Alamance,27217,7400,6147,3969,53.6351351351351,0.9773,202111091931
934,001,37001020901,"Census Tract 209.01, Alamance County, North Carolina",37001020901,Alamance,27215,3406,2759,1967,57.7510275983558,0.6719,202111091931
935,001,37001020502,"Census Tract 205.02, Alamance County, North Carolina",37001020502,Alamance,27217,4012,3262,1865,46.4855433698903,0.9579,202111091931
936,001,37001020701,"Census Tract 207.01, Alamance County, North Carolina",37001020701,Alamance,27215,4973,4506,2901,58.3350090488639,0.4993,202111091931
954,001,37001021500,"Census Tract 215, Alamance County, North Carolina",37001021500,Alamance,27202,4760,4056,1980,41.5966386554622,0.4109,202111091931
955,001,37001020501,"Census Tract 205.01, Alamance County, North Carolina",37001020501,Alamance,27215,3819,3178,1975,51.7151086671904,0.6127,202111091931
957,001,37001021102,"Census Tract 211.02, Alamance County, North Carolina",37001021102,Alamance,27253,3369,2757,1564,46.4232710002968,0.77,202111091931
969,001,37001021400,"Census Tract 214, Alamance County, North Carolina",37001021400,Alamance,27217,2748,2423,1293,47.0524017467249,0.4618,202111091931
970,001,37001021000,"Census Tract 210, Alamance County, North Carolina",37001021000,Alamance,27217,3999,3227,1785,44.6361590397599,0.9783,202111091931
