OBJECTID,COUNTYFP10,GEOID10,GeoName,FIPS,County,ZIP,TotalPop,TotalVax,SVI,Pop5Up,PctVax,UpdateDTS
852,001,37001021101,"Census Tract 211.01, Alamance County, North Carolina",37001021101,Alamance,27253,2718,2331,0.6747,2588,85.7615894039735,202207211832
875,001,37001020602,"Census Tract 206.02, Alamance County, North Carolina",37001020602,Alamance,27215,2638,2331,0.3457,2624,88.3623957543594,202207211832
876,001,37001021701,"Census Tract 217.01, Alamance County, North Carolina",37001021701,Alamance,27215,3432,3646,0.218,3382,106.235431235431,202207211832
877,001,37001021207,"Census Tract 212.07, Alamance County, North Carolina",37001021207,Alamance,27302,3476,2566,0.5576,3384,73.8204833141542,202207211832
892,001,37001020400,"Census Tract 204, Alamance County, North Carolina",37001020400,Alamance,27217,6746,4539,0.9607,6143,67.2843166320783,202207211832
893,001,37001021300,"Census Tract 213, Alamance County, North Carolina",37001021300,Alamance,27217,6018,4652,0.4489,5748,77.3014290461947,202207211832
931,001,37001020300,"Census Tract 203, Alamance County, North Carolina",37001020300,Alamance,27217,7400,5687,0.9773,6860,76.8513513513514,202207211832
934,001,37001020901,"Census Tract 209.01, Alamance County, North Carolina",37001020901,Alamance,27215,3406,2873,0.6719,3080,84.3511450381679,202207211832
935,001,37001020502,"Census Tract 205.02, Alamance County, North Carolina",37001020502,Alamance,27217,4012,2775,0.9579,3618,69.1674975074776,202207211832
936,001,37001020701,"Census Tract 207.01, Alamance County, North Carolina",37001020701,Alamance,27215,4973,4353,0.4993,4869,87.5326764528454,202207211832
954,001,37001021500,"Census Tract 215, Alamance County, North Carolina",37001021500,Alamance,27202,4760,2846,0.4109,4448,59.7899159663866,202207211832
955,001,37001020501,"Census Tract 205.01, Alamance County, North Carolina",37001020501,Alamance,27215,3819,2801,0.6127,3609,73.3438072793925,202207211832
957,001,37001021102,"Census Tract 211.02, Alamance County, North Carolina",37001021102,Alamance,27253,3369,2338,0.77,3056,69.397447313743,202207211832
969,001,37001021400,"Census Tract 214, Alamance County, North Carolina",37001021400,Alamance,27217,2748,1793,0.4618,2619,65.2474526928675,202207211832
970,001,37001021000,"Census Tract 210, Alamance County, North Carolina",37001021000,Alamance,27217,3999,2637,0.9783,3697,65.9414853713428,202207211832
1058,001,37001021204,"Census Tract 212.04, Alamance County, North Carolina",37001021204,Alamance,27253,4976,3831,0.3406,4606,76.9895498392283,202207211832
