Deaths,Casesper10k,Casesper100k,County,Total,PctPos
167,1152,11524,Wilson,9427,NA
46,951,9506,Northampton,1852,NA
297,813,8126,Cumberland,27263,NA
18,865,8653,Jones,815,NA
94,805,8045,Rockingham,7322,NA
162,792,7917,New Hanover,18563,NA
109,1090,10896,Halifax,5449,NA
5,893,8934,Alleghany,995,NA
55,822,8223,Hoke,4542,NA
76,944,9443,Lee,5834,NA
43,1070,10698,Greene,2254,NA
110,1044,10441,Edgecombe,5374,NA
92,679,6793,Haywood,4233,NA
27,940,9401,Caswell,2125,NA
17,843,8430,Swain,1203,NA
156,1117,11166,Surry,8015,NA
18,640,6402,Clay,719,NA
79,857,8565,Stokes,3905,NA
41,753,7529,Ashe,2048,NA
20,1184,11836,Avery,2078,NA
28,873,8728,Yancey,1577,NA
101,565,5649,Orange,8387,NA
217,761,7608,Durham,24460,NA
673,852,8523,Guilford,45781,NA
185,954,9537,Davidson,15985,NA
714,762,7624,Wake,84764,NA
224,1027,10270,Randolph,14755,NA
123,894,8943,Craven,9134,NA
37,924,9245,Davie,3961,NA
206,1064,10643,Rutherford,7134,NA
142,821,8207,Onslow,16245,NA
39,986,9862,Martin,2213,NA
67,828,8283,Person,3271,NA
49,936,9356,Franklin,6520,NA
313,658,6576,Buncombe,17175,NA
63,1127,11268,McDowell,5156,NA
106,1220,12199,Sampson,7750,NA
16,921,9209,Mitchell,1378,NA
132,1047,10466,Duplin,6148,NA
92,1016,10159,Richmond,4554,NA
43,915,9147,Bertie,1733,NA
63,872,8717,Hertford,2064,NA
93,1207,12074,Montgomery,3281,NA
83,1058,10576,Scotland,3683,NA
83,1149,11492,Alexander,4309,NA
13,872,8722,Pamlico,1110,NA
22,1028,10285,Chowan,1434,NA
33,832,8319,Macon,2983,NA
40,701,7014,Madison,1526,NA
209,986,9862,Johnston,20645,NA
80,961,9609,Granville,5808,NA
934,977,9770,Mecklenburg,108485,NA
250,976,9755,Cabarrus,21115,NA
149,623,6234,Brunswick,8904,NA
300,1153,11530,Rowan,16383,NA
31,658,6581,Transylvania,2263,NA
238,882,8818,Wayne,10858,NA
80,821,8206,Pasquotank,3268,NA
416,1154,11536,Gaston,25901,NA
86,1086,10859,Vance,4836,NA
152,1081,10807,Burke,9779,NA
10,557,5569,Dare,2061,NA
87,613,6127,Chatham,4563,NA
157,844,8444,Henderson,9915,NA
28,697,6973,Polk,1445,NA
297,1177,11769,Catawba,18778,NA
109,951,9514,Wilkes,6509,NA
16,540,5403,Currituck,1500,NA
150,1126,11256,Columbus,6248,NA
103,1115,11150,Caldwell,9163,NA
227,1231,12306,Robeson,16075,NA
110,1034,10336,Lenoir,5783,NA
9,726,7264,Perquimans,978,NA
131,1214,12144,Stanly,7627,NA
20,894,8935,Warren,1763,NA
85,1129,11285,Lincoln,9718,NA
12,626,6262,Gates,724,NA
55,1023,10231,Anson,2501,NA
31,789,7893,Watauga,4434,NA
6,787,7869,Tyrrell,316,NA
12,685,6848,Graham,578,NA
0,NA,NA,Missing,1,NA
179,1181,11811,Nash,11138,NA
370,911,9108,Forsyth,34819,NA
206,1000,10002,Iredell,18185,NA
211,986,9864,Union,23659,NA
47,1034,10341,Yadkin,3895,NA
263,1037,10371,Alamance,17580,NA
223,1145,11453,Cleveland,11218,NA
86,1051,10512,Pitt,19000,NA
186,858,8582,Moore,8658,NA
168,818,8182,Harnett,11125,NA
20,847,8468,Cherokee,2423,NA
95,956,9557,Beaufort,4491,NA
31,902,9024,Washington,1045,NA
47,719,7194,Carteret,4998,NA
56,810,8098,Jackson,3558,NA
41,973,9730,Bladen,3184,NA
69,830,8298,Pender,5233,NA
5,596,5963,Camden,648,NA
8,1343,13429,Hyde,663,NA
