OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,RatePer100K,Shape__Area,Shape__Length,DataGatherTS
1,27006,1059,3,14872,Advance,"",712.076385153308,7120.76385153308,1744189234.37061,355282.663136038,202102141002
2,27007,187,0,2136,Ararat,"",875.468164794008,8754.68164794008,592499585.594238,195922.003442792,202102141002
3,27009,238,1,2937,Belews Creek,"",810.350697991148,8103.50697991147,618093097.011353,191244.647442635,202102141002
4,27011,480,6,5411,Boonville,"",887.081870264276,8870.81870264276,1489580093.86462,316910.589814884,202102141002
5,27012,2432,43,28954,Clemmons,"",839.95302894246,8399.53028942461,1176567385.86804,255774.303165276,202102141002
6,27013,492,6,6495,Cleveland,"",757.505773672055,7575.05773672055,2066336247.98627,379169.285246239,202102141002
7,27014,63,1,957,Cooleemee,"",658.307210031348,6583.07210031348,21479098.032959,22299.1178929161,202102141002
8,27016,123,2,1682,Danbury,"",731.272294887039,7312.72294887039,1068209590.0686,211061.413302457,202102141002
9,27017,928,7,9499,Dobson,"",976.944941572797,9769.44941572797,2962951682.04883,566348.974052304,202102141002
10,27018,612,4,8221,East Bend,"",744.43498357864,7444.3498357864,2331567909.96985,255811.974556888,202102141002
11,27019,277,1,4234,Germanton,"",654.227680680208,6542.27680680208,977414017.819214,270248.259734795,202102141002
12,27020,595,5,6104,Hamptonville,"",974.770642201835,9747.70642201835,2114111622.36755,316969.486887135,202102141002
13,27021,1477,36,17979,King,"",821.513988542188,8215.13988542188,1469376476.14172,210392.900707099,202102141002
14,27022,78,1,1512,Lawsonville,"",515.873015873016,5158.73015873016,918745327.278442,200803.000966771,202102141002
15,27023,847,3,12775,Lewisville,"",663.013698630137,6630.13698630137,807172159.002075,183078.980128527,202102141002
16,27024,252,3,2683,Lowgap,"",939.247111442415,9392.47111442415,1265827411.39758,278411.484773322,202102141002
17,27025,900,5,11117,Madison,"",809.570927408473,8095.70927408473,2714649364.33142,468723.596670606,202102141002
18,27027,327,6,4017,Mayodan,"",814.040328603435,8140.40328603435,548179131.574585,172371.363079245,202102141002
19,27028,2216,18,28039,Mocksville,"",790.327757765969,7903.27757765969,5475621774.30664,567238.136149725,202102141002
20,27030,3650,78,37641,Mount Airy,"",969.6873090513,9696.87309051301,4824085732.75671,624989.724929863,202102141002
21,27040,869,5,13150,Pfafftown,"",660.836501901141,6608.36501901141,763349953.536133,205025.773716105,202102141002
22,27041,612,6,8020,Pilot Mountain,"",763.092269326683,7630.92269326683,1629462738.40637,324677.141569035,202102141002
23,27042,62,2,720,Pine Hall,"",861.111111111111,8611.11111111111,290758639.069458,113971.243586081,202102141002
24,27043,454,5,6442,Pinnacle,"",704.750077615647,7047.50077615647,1935795027.06067,395674.180712496,202102141002
25,27045,846,6,9583,Rural Hall,"",882.813315245748,8828.13315245748,666085549.25769,154538.589918543,202102141002
26,27046,132,1,1953,Sandy Ridge,"",675.883256528418,6758.83256528418,1237681699.0647,217125.573744555,202102141002
27,27047,98,0,1279,Siloam,"",766.223612197029,7662.23612197029,576295820.815674,144984.839113672,202102141002
28,27048,595,3,8902,Stoneville,"",668.389126039092,6683.89126039092,2355000804.03674,325454.766660313,202102141002
29,27050,261,3,4084,Tobaccoville,"",639.079333986288,6390.79333986288,703876500.567505,219088.1792708,202102141002
30,27051,599,5,8287,Walkertown,"",722.81887293351,7228.1887293351,524680317.775635,151066.808563308,202102141002
31,27052,789,16,10061,Walnut Cove,"",784.216280687804,7842.16280687804,2710320219.82117,403203.611044297,202102141002
32,27053,157,1,3156,Westfield,"",497.465145754119,4974.65145754119,2152815477.55933,413464.446930882,202102141002
33,27054,249,2,2608,Woodleaf,"",954.754601226994,9547.54601226994,778193820.583862,201172.963339102,202102141002
34,27055,1460,21,14521,Yadkinville,"",1005.4403966669,10054.403966669,3115987965.39453,403366.49229781,202102141002
35,27101,1522,33,24321,Winston Salem,"",625.796636651453,6257.96636651454,356085731.400146,162957.922513793,202102141002
36,27103,2611,32,36071,Winston Salem,"",723.850184358626,7238.50184358626,527249856.672729,146399.561156354,202102141002
37,27104,2157,26,29383,Winston Salem,"",734.097947792941,7340.97947792941,337669863.683838,130394.134288752,202102141002
38,27105,3379,29,40186,Winston Salem,"",840.840093564923,8408.40093564923,950547784.577881,208375.813794777,202102141002
39,27106,3662,36,51378,Winston Salem,"",712.756432714391,7127.56432714391,787324720.967285,203893.681115083,202102141002
40,27107,4160,36,52432,Winston Salem,"",793.408605431797,7934.08605431797,1859279716.41162,319111.813640457,202102141002
41,27127,3293,24,38510,Winston Salem,"",855.102570760841,8551.02570760841,820319160.873047,213438.375685158,202102141002
42,27157,37,0,5,Winston Salem,"",,,827769.094482422,4216.57245655308,202102141002
43,27203,2341,46,21876,Asheboro,"",1070.12250868532,10701.2250868532,589408161.410522,188062.356665824,202102141002
44,27205,3156,41,34549,Asheboro,"",913.485194940519,9134.85194940519,6255653514.79199,588011.232518038,202102141002
45,27207,240,2,3806,Bear Creek,"",630.583289542827,6305.83289542827,2300194678.82397,473699.237818467,202102141002
46,27208,126,0,1691,Bennett,"",745.121230041396,7451.21230041396,1029479783.1405,215638.108979383,202102141002
47,27209,659,38,4151,Biscoe,"",1587.56926041918,15875.6926041918,1198089302.20734,259108.004034657,202102141002
48,27212,334,1,1600,Blanch,"",2087.5,20875,1328181375.12305,277007.39975067,202102141002
49,27214,834,5,11747,Browns Summit,"",709.968502596408,7099.68502596408,1414533235.94788,324969.092830869,202102141002
50,27215,3703,54,44892,Burlington,"",824.868573465205,8248.68573465205,1827823774.30115,298200.358945539,202102141002
51,27217,4413,77,39111,Burlington,"",1128.32706911099,11283.2706911099,3473433663.33496,513818.51476852,202102141002
52,27229,487,13,4014,Candor,"",1213.25361235675,12132.5361235675,2747739848.89313,367384.611313313,202102141002
