OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length,DataGatherTS
1,27006,29,2,14872,Advance,,19.4997310381926,1744189234.37061,355282.663136038,202006150436
2,27007,7,0,2136,Ararat,,32.7715355805243,592499585.594238,195922.003442792,202006150436
3,27009,3,0,2937,Belews Creek,,10.2145045965271,618093097.011353,191244.647442635,202006150436
4,27011,20,0,5411,Boonville,,36.9617445943449,1489580093.86462,316910.589814884,202006150436
5,27012,57,0,28954,Clemmons,,19.6863991158389,1176567385.86804,255774.303165276,202006150436
6,27013,14,1,6495,Cleveland,,21.5550423402617,2066336247.98627,379169.285246239,202006150436
7,27014,2,0,957,Cooleemee,,20.8986415882968,21479098.032959,22299.1178929161,202006150436
8,27016,1,0,1682,Danbury,,5.94530321046373,1068209590.0686,211061.413302457,202006150436
9,27017,74,0,9499,Dobson,,77.9029371512791,2962951682.04883,566348.974052304,202006150436
10,27018,53,1,8221,East Bend,,64.4690426955358,2331567909.96985,255811.974556888,202006150436
11,27019,9,0,4234,Germanton,,21.2564950401512,977414017.819214,270248.259734795,202006150436
12,27020,43,2,6104,Hamptonville,,70.4456094364351,2114111622.36755,316969.486887135,202006150436
13,27021,42,0,17979,King,,23.3605873519106,1469376476.14172,210392.900707099,202006150436
14,27022,1,0,1512,Lawsonville,,6.61375661375661,918745327.278442,200803.000966771,202006150436
15,27023,33,1,12775,Lewisville,,25.8317025440313,807172159.002075,183078.980128527,202006150436
16,27024,7,0,2683,Lowgap,,26.0901975400671,1265827411.39758,278411.484773322,202006150436
17,27025,15,0,11117,Madison,,13.4928487901412,2714649364.33142,468723.596670606,202006150436
18,27027,2,0,4017,Mayodan,,4.97883993029624,548179131.574585,172371.363079245,202006150436
19,27028,109,0,28039,Mocksville,,38.8744249081636,5475621774.30664,567238.136149725,202006150436
20,27030,185,2,37641,Mount Airy,,49.1485348423262,4824085732.75671,624989.724929863,202006150436
21,27040,24,0,13150,Pfafftown,,18.2509505703422,763349953.536133,205025.773716105,202006150436
22,27041,7,0,8020,Pilot Mountain,,8.72817955112219,1629462738.40637,324677.141569035,202006150436
