OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,RatePer100K,Shape__Area,Shape__Length,DataGatherTS
1,27006,1527,8,14872,Advance,"",1026.76169983862,10267.6169983862,1744189234.37061,355282.663136038,202108230540
2,27007,247,1,2136,Ararat,"",1156.3670411985,11563.670411985,592499585.594238,195922.003442792,202108230540
3,27009,341,3,2937,Belews Creek,"",1161.04868913858,11610.4868913858,618093097.011353,191244.647442635,202108230540
4,27011,625,7,5411,Boonville,"",1155.05451857328,11550.5451857328,1489580093.86462,316910.589814884,202108230540
5,27012,3204,51,28954,Clemmons,"",1106.582855564,11065.82855564,1176567385.86804,255774.303165276,202108230540
6,27013,746,8,6495,Cleveland,"",1148.57582755966,11485.7582755966,2066336247.98627,379169.285246239,202108230540
7,27014,108,2,957,Cooleemee,"",1128.52664576803,11285.2664576803,21479098.032959,22299.1178929161,202108230540
8,27016,179,3,1682,Danbury,"",1064.20927467301,10642.0927467301,1068209590.0686,211061.413302457,202108230540
9,27017,1221,16,9499,Dobson,"",1285.3984629961,12853.984629961,2962951682.04883,566348.974052304,202108230540
10,27018,772,6,8221,East Bend,"",939.058508697239,9390.58508697239,2331567909.96985,255811.974556888,202108230540
11,27019,386,1,4234,Germanton,"",911.667453944261,9116.67453944261,977414017.819214,270248.259734795,202108230540
12,27020,830,7,6104,Hamptonville,"",1359.76408912189,13597.6408912189,2114111622.36755,316969.486887135,202108230540
13,27021,2057,48,17979,King,"",1144.11257578286,11441.1257578286,1469376476.14172,210392.900707099,202108230540
14,27022,108,2,1512,Lawsonville,"",714.285714285714,7142.85714285714,918745327.278442,200803.000966771,202108230540
15,27023,1163,4,12775,Lewisville,"",910.371819960861,9103.71819960861,807172159.002075,183078.980128527,202108230540
16,27024,317,3,2683,Lowgap,"",1181.51323145732,11815.1323145732,1265827411.39758,278411.484773322,202108230540
17,27025,1097,31,11117,Madison,"",986.777008185662,9867.77008185662,2714649364.33142,468723.596670606,202108230540
18,27027,393,19,4017,Mayodan,"",978.342046303211,9783.42046303211,548179131.574585,172371.363079245,202108230540
19,27028,3134,32,28039,Mocksville,"",1117.72887763472,11177.2887763472,5475621774.30664,567238.136149725,202108230540
20,27030,4829,107,37641,Mount Airy,"",1282.90959326267,12829.0959326267,4824085732.75671,624989.724929863,202108230540
21,27040,1176,10,13150,Pfafftown,"",894.296577946768,8942.96577946768,763349953.536133,205025.773716105,202108230540
22,27041,821,8,8020,Pilot Mountain,"",1023.69077306733,10236.9077306733,1629462738.40637,324677.141569035,202108230540
23,27042,78,2,720,Pine Hall,"",1083.33333333333,10833.3333333333,290758639.069458,113971.243586081,202108230540
24,27043,606,7,6442,Pinnacle,"",940.701645451723,9407.01645451723,1935795027.06067,395674.180712496,202108230540
25,27045,1149,9,9583,Rural Hall,"",1198.99822602525,11989.9822602525,666085549.25769,154538.589918543,202108230540
26,27046,163,1,1953,Sandy Ridge,"",834.613415258577,8346.13415258577,1237681699.0647,217125.573744555,202108230540
27,27047,132,2,1279,Siloam,"",1032.05629397967,10320.5629397967,576295820.815674,144984.839113672,202108230540
28,27048,810,12,8902,Stoneville,"",909.907885868344,9099.07885868344,2355000804.03674,325454.766660313,202108230540
29,27050,384,4,4084,Tobaccoville,"",940.254652301665,9402.54652301665,703876500.567505,219088.1792708,202108230540
30,27051,822,7,8287,Walkertown,"",991.915047665017,9919.15047665017,524680317.775635,151066.808563308,202108230540
31,27052,1086,23,10061,Walnut Cove,"",1079.41556505318,10794.1556505318,2710320219.82117,403203.611044297,202108230540
32,27053,229,2,3156,Westfield,"",725.602027883397,7256.02027883397,2152815477.55933,413464.446930882,202108230540
33,27054,340,5,2608,Woodleaf,"",1303.68098159509,13036.8098159509,778193820.583862,201172.963339102,202108230540
34,27055,1903,29,14521,Yadkinville,"",1310.51580469665,13105.1580469665,3115987965.39453,403366.49229781,202108230540
35,27101,2014,38,24321,Winston Salem,"",828.090950207639,8280.90950207639,356085731.400146,162957.922513793,202108230540
36,27103,3473,42,36071,Winston Salem,"",962.823320673117,9628.23320673117,527249856.672729,146399.561156354,202108230540
37,27104,2828,39,29383,Winston Salem,"",962.461287138822,9624.61287138822,337669863.683838,130394.134288752,202108230540
38,27105,4503,45,40186,Winston Salem,"",1120.53949136515,11205.3949136515,950547784.577881,208375.813794777,202108230540
39,27106,4810,58,51378,Winston Salem,"",936.198372844408,9361.98372844408,787324720.967285,203893.681115083,202108230540
40,27107,5606,51,52432,Winston Salem,"",1069.19438510833,10691.9438510833,1859279716.41162,319111.813640457,202108230540
41,27127,4407,28,38510,Winston Salem,"",1144.37808361465,11443.7808361465,820319160.873047,213438.375685158,202108230540
42,27157,47,0,5,Winston Salem,"",,,827769.094482422,4216.57245655308,202108230540
43,27203,3002,56,21876,Asheboro,"",1372.28012433717,13722.8012433717,589408161.410522,188062.356665824,202108230540
44,27205,4129,51,34549,Asheboro,"",1195.11418564937,11951.1418564937,6255653514.79199,588011.232518038,202108230540
45,27207,348,2,3806,Bear Creek,"",914.345769837099,9143.45769837099,2300194678.82397,473699.237818467,202108230540
46,27208,193,2,1691,Bennett,"",1141.33648728563,11413.3648728563,1029479783.1405,215638.108979383,202108230540
47,27209,766,41,4151,Biscoe,"",1845.33847265719,18453.3847265719,1198089302.20734,259108.004034657,202108230540
48,27212,399,1,1600,Blanch,"",2493.75,24937.5,1328181375.12305,277007.39975067,202108230540
49,27214,1208,13,11747,Browns Summit,"",1028.34766323317,10283.4766323317,1414533235.94788,324969.092830869,202108230540
50,27215,5132,76,44892,Burlington,"",1143.18809587454,11431.8809587454,1827823774.30115,298200.358945539,202108230540
51,27217,5616,102,39111,Burlington,"",1435.91317020787,14359.1317020787,3473433663.33496,513818.51476852,202108230540
52,27229,597,18,4014,Candor,"",1487.29446935725,14872.9446935725,2747739848.89313,367384.611313313,202108230540
53,27231,133,0,2048,Cedar Grove,"",649.4140625,6494.140625,987771348.581177,209108.769362036,202108230540
54,27233,330,4,3647,Climax,"",904.85330408555,9048.5330408555,703252829.253662,187154.002103638,202108230540
55,27235,492,12,4575,Colfax,"",1075.40983606557,10754.0983606557,380654027.583252,148521.339190303,202108230540
56,27239,1078,15,9629,Denton,"",1119.53473880985,11195.3473880985,4319759872.9696,429373.198159064,202108230540
57,27242,230,3,2668,Eagle Springs,"",862.068965517241,8620.68965517241,1480408484.01825,321391.030328654,202108230540
58,27243,332,2,4665,Efland,"",711.682743837085,7116.82743837085,1142332751.10315,311755.144165646,202108230540
59,27244,2321,27,16259,Elon,"",1427.51706747032,14275.1706747032,1541989025.453,399696.340130384,202108230540
60,27248,459,5,4835,Franklinville,"",949.327817993795,9493.27817993795,942909114.352783,215710.992817749,202108230540
61,27249,1296,10,13355,Gibsonville,"",970.423062523399,9704.23062523399,1679803774.77087,397477.611919868,202108230540
62,27252,146,2,2264,Goldston,"",644.876325088339,6448.76325088339,1142470673.17163,220926.147155476,202108230540
63,27253,3993,50,31464,Graham,"",1269.06941266209,12690.6941266209,2351372927.78931,521476.969804177,202108230540
64,27258,773,8,7740,Haw River,"",998.708010335917,9987.08010335917,473631125.268677,312686.877842211,202108230540
65,27260,2445,43,25696,High Point,"",951.5099626401,9515.099626401,348441568.963501,133229.878739789,202108230540
66,27262,2392,64,24764,High Point,"",965.918268454208,9659.18268454208,368730084.700928,171087.864383377,202108230540
67,27263,2357,36,22320,High Point,"",1056.00358422939,10560.0358422939,1121512604.52234,249658.228757679,202108230540
68,27265,4991,56,50038,High Point,"",997.441944122467,9974.41944122467,1172957282.41284,307481.490778656,202108230540
69,27268,315,0,1695,High Point,"",1858.40707964602,18584.0707964602,2495618.64758301,8251.66869064816,202108230540
70,27278,1931,19,27181,Hillsborough,"",710.422721754167,7104.22721754167,2885765742.02771,502574.675043234,202108230540
71,27281,293,1,3710,Jackson Springs,"",789.757412398922,7897.57412398922,2095606802.2608,479969.724586594,202108230540
72,27282,1596,26,16597,Jamestown,"",961.619569801771,9616.19569801771,404066994.873657,168803.970950205,202108230540
73,27283,288,5,2982,Julian,"",965.79476861167,9657.9476861167,711286368.914917,161239.518798817,202108230540
74,27284,5857,77,56201,Kernersville,"",1042.15227487055,10421.5227487055,2233069317.10205,420748.080109325,202108230540
75,27288,2280,61,23585,Eden,"",966.716133135467,9667.16133135468,1951079100.05676,304615.616752016,202108230540
76,27291,145,0,1538,Leasburg,"",942.782834850455,9427.82834850455,1492904663.44434,314720.365319101,202108230540
77,27292,4335,38,41465,Lexington,"",1045.4600265284,10454.600265284,4270233445.18579,407599.915340798,202108230540
78,27295,4519,57,39191,Lexington,"",1153.07085810518,11530.7085810518,3631502180.53174,466742.919509858,202108230540
79,27298,985,10,10440,Liberty,"",943.486590038314,9434.86590038314,2639148530.03284,431527.987760386,202108230540
80,27299,654,5,5254,Linwood,"",1244.76589265322,12447.6589265322,822543412.257813,203597.604040365,202108230540
81,27301,1221,19,10019,Mc Leansville,"",1218.68449945104,12186.8449945104,900133716.655151,287107.537324028,202108230540
82,27302,3089,22,32302,Mebane,"",956.287536375457,9562.87536375457,3198656461.27478,644303.59427532,202108230540
83,27305,166,1,1585,Milton,"",1047.31861198738,10473.1861198738,687167820.539429,263836.485514183,202108230540
84,27306,792,18,5945,Mount Gilead,"",1332.21194280908,13322.1194280908,5305900334.83325,426306.558627535,202108230540
85,27310,720,4,8562,Oak Ridge,"",840.925017519271,8409.25017519271,526240082.103149,140986.043049622,202108230540
86,27311,294,1,3220,Pelham,"",913.04347826087,9130.4347826087,1338371966.32642,293760.993606137,202108230540
87,27312,1149,26,22205,Pittsboro,"",517.451024544022,5174.51024544022,5005768374.64233,617961.777569282,202108230540
88,27313,600,23,7288,Pleasant Garden,"",823.271130625686,8232.71130625686,760352714.59021,181619.740165306,202108230540
89,27314,80,1,1138,Prospect Hill,"",702.98769771529,7029.8769771529,773578280.842896,162162.976448062,202108230540
90,27315,133,0,2140,Providence,"",621.495327102804,6214.95327102804,697810511.310425,179457.95829655,202108230540
91,27316,804,15,7156,Ramseur,"",1123.53269983231,11235.3269983231,1975410509.03577,278228.393914438,202108230540
92,27317,2031,27,17851,Randleman,"",1137.75138647695,11377.5138647695,1700826686.43616,339539.515262609,202108230540
93,27320,3688,56,38894,Reidsville,"",948.218234174937,9482.18234174937,6966725984.64832,658218.836963247,202108230540
94,27325,829,9,7676,Robbins,"",1079.98957790516,10799.8957790516,2401051783.47894,409075.895347679,202108230540
95,27326,378,2,3692,Ruffin,"",1023.83531960997,10238.3531960997,1884156536.74561,359587.547530237,202108230540
96,27330,4691,59,39529,Sanford,"",1186.72367122872,11867.2367122872,6011213414.18433,528161.840140257,202108230540
97,27332,3394,28,33549,Sanford,"",1011.65459477183,10116.5459477183,2996782209.29614,417113.164836099,202108230540
98,27341,534,3,5820,Seagrove,"",917.525773195876,9175.25773195876,2678433259.4787,311632.157547413,202108230540
99,27343,147,0,1840,Semora,"",798.913043478261,7989.13043478261,1390260353.39624,348769.311430722,202108230540
100,27344,2231,36,19290,Siler City,"",1156.55780196993,11565.5780196993,4591228058.44531,607903.308882544,202108230540
101,27349,639,5,5850,Snow Camp,"",1092.30769230769,10923.0769230769,1831279532.651,381750.490582419,202108230540
102,27350,719,9,7508,Sophia,"",957.645178476292,9576.45178476292,1066449848.573,204602.636460839,202108230540
103,27355,263,2,3196,Staley,"",822.903629536921,8229.03629536921,1016358702.6969,245160.332752788,202108230540
104,27356,362,7,3513,Star,"",1030.45829775121,10304.5829775121,1815293543.21783,348288.37985576,202108230540
105,27357,975,20,8325,Stokesdale,"",1171.17117117117,11711.7117117117,1273124268.28796,223115.118835702,202108230540
106,27358,1215,8,15960,Summerfield,"",761.278195488722,7612.78195488722,1557557662.14905,323017.176053331,202108230540
107,27360,5569,67,48331,Thomasville,"",1152.26252301835,11522.6252301835,2458732404.91687,372395.85217249,202108230540
108,27370,1776,32,14622,Trinity,"",1214.60812474354,12146.0812474354,1663817222.16028,344702.900725307,202108230540
109,27371,947,12,7778,Troy,"",1217.53664181023,12175.3664181023,4076136455.00793,473833.643450898,202108230540
110,27376,968,20,9884,West End,"",979.360582760016,9793.60582760016,1781050002.06519,320932.333330313,202108230540
111,27377,1083,9,9597,Whitsett,"",1128.4776492654,11284.776492654,736936774.92627,183024.518653502,202108230540
112,27379,619,25,6057,Yanceyville,"",1021.9580650487,10219.580650487,2663338769.75159,422550.665080929,202108230540
113,27401,2113,27,20221,Greensboro,"",1044.95326640621,10449.5326640621,171748092.127686,100334.769337553,202108230540
114,27403,1683,21,21278,Greensboro,"",790.957796785412,7909.57796785412,159396286.028687,87465.2545388649,202108230540
115,27405,5416,59,52510,Greensboro,"",1031.42258617406,10314.2258617406,886695637.391357,284328.526421691,202108230540
116,27406,6117,111,60755,Greensboro,"",1006.83071352152,10068.3071352152,1894160074.00403,327705.317343953,202108230540
117,27407,4960,70,49837,Greensboro,"",995.244497060417,9952.44497060417,840498790.451172,227731.576408348,202108230540
118,27408,1391,8,17406,Greensboro,"",799.149718487878,7991.49718487878,221403500.549561,80148.1616765212,202108230540
119,27409,1692,17,17953,Greensboro,"",942.460870049574,9424.60870049574,603872824.646484,239783.02449594,202108230540
120,27410,4548,50,56968,Greensboro,"",798.342929363854,7983.42929363853,859363574.914917,272309.563854046,202108230540
