OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,Shape__Area,Shape__Length,DataGatherTS
1,27006,21,2,14872,Advance,,1744189234.37061,355282.663136038,202005250436
2,27007,2,0,2136,Ararat,,592499585.594238,195922.003442792,202005250436
3,27009,3,0,2937,Belews Creek,,618093097.011353,191244.647442635,202005250436
4,27011,14,0,5411,Boonville,,1489580093.86462,316910.589814884,202005250436
5,27012,23,0,28954,Clemmons,,1176567385.86804,255774.303165276,202005250436
6,27013,10,0,6495,Cleveland,,2066336247.98627,379169.285246239,202005250436
7,27014,0,0,957,Cooleemee,,21479098.032959,22299.1178929161,202005250436
8,27016,1,0,1682,Danbury,,1068209590.0686,211061.413302457,202005250436
9,27017,21,0,9499,Dobson,,2962951682.04883,566348.974052304,202005250436
10,27018,25,1,8221,East Bend,,2331567909.96985,255811.974556888,202005250436
11,27019,3,0,4234,Germanton,,977414017.819214,270248.259734795,202005250436
12,27020,26,0,6104,Hamptonville,,2114111622.36755,316969.486887135,202005250436
13,27021,25,0,17979,King,,1469376476.14172,210392.900707099,202005250436
14,27022,0,0,1512,Lawsonville,,918745327.278442,200803.000966771,202005250436
15,27023,26,1,12775,Lewisville,,807172159.002075,183078.980128527,202005250436
16,27024,4,0,2683,Lowgap,,1265827411.39758,278411.484773322,202005250436
17,27025,8,0,11117,Madison,,2714649364.33142,468723.596670606,202005250436
18,27027,0,0,4017,Mayodan,,548179131.574585,172371.363079245,202005250436
19,27028,48,0,28039,Mocksville,,5475621774.30664,567238.136149725,202005250436
20,27030,95,1,37641,Mount Airy,,4824085732.75671,624989.724929863,202005250436
21,27040,10,0,13150,Pfafftown,,763349953.536133,205025.773716105,202005250436
22,27041,3,0,8020,Pilot Mountain,,1629462738.40637,324677.141569035,202005250436
23,27042,3,0,720,Pine Hall,,290758639.069458,113971.243586081,202005250436
24,27043,8,0,6442,Pinnacle,,1935795027.06067,395674.180712496,202005250436
25,27045,22,0,9583,Rural Hall,,666085549.25769,154538.589918543,202005250436
26,27046,0,0,1953,Sandy Ridge,,1237681699.0647,217125.573744555,202005250436
27,27047,2,0,1279,Siloam,,576295820.815674,144984.839113672,202005250436
28,27048,7,0,8902,Stoneville,,2355000804.03674,325454.766660313,202005250436
29,27050,4,0,4084,Tobaccoville,,703876500.567505,219088.1792708,202005250436
30,27051,13,0,8287,Walkertown,,524680317.775635,151066.808563308,202005250436
31,27052,19,0,10061,Walnut Cove,,2710320219.82117,403203.611044297,202005250436
32,27053,1,0,3156,Westfield,,2152815477.55933,413464.446930882,202005250436
33,27054,1,0,2608,Woodleaf,,778193820.583862,201172.963339102,202005250436
34,27055,60,0,14521,Yadkinville,,3115987965.39453,403366.49229781,202005250436
35,27101,29,0,24321,Winston Salem,,356085731.400146,162957.922513793,202005250436
36,27103,90,2,36071,Winston Salem,,527249856.672729,146399.561156354,202005250436
37,27104,85,2,29383,Winston Salem,,337669863.683838,130394.134288752,202005250436
38,27105,159,0,40186,Winston Salem,,950547784.577881,208375.813794777,202005250436
39,27106,120,1,51378,Winston Salem,,787324720.967285,203893.681115083,202005250436
40,27107,199,2,52432,Winston Salem,,1859279716.41162,319111.813640457,202005250436
41,27127,107,1,38510,Winston Salem,,820319160.873047,213438.375685158,202005250436
42,27157,NA,NA,5,Winston Salem,Population <500 and Cases <5,827769.094482422,4216.57245655308,202005250436
43,27203,204,4,21876,Asheboro,,589408161.410522,188062.356665824,202005250436
44,27205,125,2,34549,Asheboro,,6255653514.79199,588011.232518038,202005250436
45,27207,18,0,3806,Bear Creek,,2300194678.82397,473699.237818467,202005250436
46,27208,8,0,1691,Bennett,,1029479783.1405,215638.108979383,202005250436
47,27209,28,2,4151,Biscoe,,1198089302.20734,259108.004034657,202005250436
48,27212,17,0,1600,Blanch,,1328181375.12305,277007.39975067,202005250436
49,27214,11,1,11747,Browns Summit,,1414533235.94788,324969.092830869,202005250436
50,27215,40,3,44892,Burlington,,1827823774.30115,298200.358945539,202005250436
51,27217,134,10,39111,Burlington,,3473433663.33496,513818.51476852,202005250436
52,27229,13,0,4014,Candor,,2747739848.89313,367384.611313313,202005250436
53,27231,0,0,2048,Cedar Grove,,987771348.581177,209108.769362036,202005250436
54,27233,2,0,3647,Climax,,703252829.253662,187154.002103638,202005250436
55,27235,1,0,4575,Colfax,,380654027.583252,148521.339190303,202005250436
56,27239,14,0,9629,Denton,,4319759872.9696,429373.198159064,202005250436
57,27242,1,0,2668,Eagle Springs,,1480408484.01825,321391.030328654,202005250436
58,27243,7,0,4665,Efland,,1142332751.10315,311755.144165646,202005250436
59,27244,4,0,16259,Elon,,1541989025.453,399696.340130384,202005250436
60,27248,16,1,4835,Franklinville,,942909114.352783,215710.992817749,202005250436
61,27249,9,0,13355,Gibsonville,,1679803774.77087,397477.611919868,202005250436
62,27252,6,1,2264,Goldston,,1142470673.17163,220926.147155476,202005250436
63,27253,42,0,31464,Graham,,2351372927.78931,521476.969804177,202005250436
64,27258,10,0,7740,Haw River,,473631125.268677,312686.877842211,202005250436
65,27260,132,5,25696,High Point,,348441568.963501,133229.878739789,202005250436
66,27262,72,1,24764,High Point,,368730084.700928,171087.864383377,202005250436
67,27263,46,0,22320,High Point,,1121512604.52234,249658.228757679,202005250436
68,27265,127,6,50038,High Point,,1172957282.41284,307481.490778656,202005250436
69,27268,1,0,1695,High Point,,2495618.64758301,8251.66869064816,202005250436
70,27278,42,0,27181,Hillsborough,,2885765742.02771,502574.675043234,202005250436
71,27281,8,0,3710,Jackson Springs,,2095606802.2608,479969.724586594,202005250436
72,27282,11,0,16597,Jamestown,,404066994.873657,168803.970950205,202005250436
73,27283,6,0,2982,Julian,,711286368.914917,161239.518798817,202005250436
74,27284,74,1,56201,Kernersville,,2233069317.10205,420748.080109325,202005250436
75,27288,28,0,23585,Eden,,1951079100.05676,304615.616752016,202005250436
76,27291,1,0,1538,Leasburg,,1492904663.44434,314720.365319101,202005250436
77,27292,56,2,41465,Lexington,,4270233445.18579,407599.915340798,202005250436
78,27295,100,8,39191,Lexington,,3631502180.53174,466742.919509858,202005250436
79,27298,35,0,10440,Liberty,,2639148530.03284,431527.987760386,202005250436
80,27299,11,0,5254,Linwood,,822543412.257813,203597.604040365,202005250436
81,27301,9,2,10019,Mc Leansville,,900133716.655151,287107.537324028,202005250436
82,27302,34,0,32302,Mebane,,3198656461.27478,644303.59427532,202005250436
83,27305,17,1,1585,Milton,,687167820.539429,263836.485514183,202005250436
84,27306,15,0,5945,Mount Gilead,,5305900334.83325,426306.558627535,202005250436
85,27310,7,1,8562,Oak Ridge,,526240082.103149,140986.043049622,202005250436
86,27311,1,0,3220,Pelham,,1338371966.32642,293760.993606137,202005250436
87,27312,91,17,22205,Pittsboro,,5005768374.64233,617961.777569282,202005250436
88,27313,56,9,7288,Pleasant Garden,,760352714.59021,181619.740165306,202005250436
89,27314,0,0,1138,Prospect Hill,,773578280.842896,162162.976448062,202005250436
90,27315,1,0,2140,Providence,,697810511.310425,179457.95829655,202005250436
91,27316,55,1,7156,Ramseur,,1975410509.03577,278228.393914438,202005250436
92,27317,48,1,17851,Randleman,,1700826686.43616,339539.515262609,202005250436
93,27320,17,2,38894,Reidsville,,6966725984.64832,658218.836963247,202005250436
94,27325,8,0,7676,Robbins,,2401051783.47894,409075.895347679,202005250436
95,27326,5,0,3692,Ruffin,,1884156536.74561,359587.547530237,202005250436
96,27330,269,3,39529,Sanford,,6011213414.18433,528161.840140257,202005250436
97,27332,121,0,33549,Sanford,,2996782209.29614,417113.164836099,202005250436
98,27340,NA,NA,34,Saxapahaw,Population <500 and Cases <5,694758.987792969,3852.87240074502,202005250436
99,27341,13,0,5820,Seagrove,,2678433259.4787,311632.157547413,202005250436
100,27343,1,0,1840,Semora,,1390260353.39624,348769.311430722,202005250436
101,27344,403,3,19290,Siler City,,4591228058.44531,607903.308882544,202005250436
102,27349,5,0,5850,Snow Camp,,1831279532.651,381750.490582419,202005250436
103,27350,3,0,7508,Sophia,,1066449848.573,204602.636460839,202005250436
104,27355,23,0,3196,Staley,,1016358702.6969,245160.332752788,202005250436
105,27356,9,1,3513,Star,,1815293543.21783,348288.37985576,202005250436
106,27357,15,1,8325,Stokesdale,,1273124268.28796,223115.118835702,202005250436
107,27358,13,1,15960,Summerfield,,1557557662.14905,323017.176053331,202005250436
108,27360,99,0,48331,Thomasville,,2458732404.91687,372395.85217249,202005250436
109,27370,22,0,14622,Trinity,,1663817222.16028,344702.900725307,202005250436
110,27371,14,0,7778,Troy,,4076136455.00793,473833.643450898,202005250436
111,27376,7,0,9884,West End,,1781050002.06519,320932.333330313,202005250436
112,27377,15,0,9597,Whitsett,,736936774.92627,183024.518653502,202005250436
113,27379,6,0,6057,Yanceyville,,2663338769.75159,422550.665080929,202005250436
114,27401,39,2,20221,Greensboro,,171748092.127686,100334.769337553,202005250436
115,27403,17,1,21278,Greensboro,,159396286.028687,87465.2545388649,202005250436
116,27405,174,5,52510,Greensboro,,886695637.391357,284328.526421691,202005250436
117,27406,73,8,60755,Greensboro,,1894160074.00403,327705.317343953,202005250436
118,27407,123,5,49837,Greensboro,,840498790.451172,227731.576408348,202005250436
119,27408,12,0,17406,Greensboro,,221403500.549561,80148.1616765212,202005250436
120,27409,18,1,17953,Greensboro,,603872824.646484,239783.02449594,202005250436
121,27410,28,1,56968,Greensboro,,859363574.914917,272309.563854046,202005250436
122,27411,0,0,847,Greensboro,,713742.998291016,5860.23208289576,202005250436
123,27412,0,0,1886,Greensboro,,4771290.83532715,13054.7888333439,202005250436
124,27455,24,2,29197,Greensboro,,816075696.678345,198282.860420201,202005250436
125,27498,NA,NA,13,Greensboro,Population <500 and Cases <5,3369264.12316895,7774.18760349114,202005250436
126,27501,27,1,21338,Angier,,1683348454.90833,329143.189780915,202005250436
127,27502,57,0,43747,Apex,,840126405.51062,242725.298081049,202005250436
128,27503,11,0,7222,Bahama,,1054708975.44934,246183.053747647,202005250436
129,27504,38,1,16320,Benson,,2584462015.08862,486262.181304732,202005250436
130,27505,30,0,7308,Broadway,,1509842573.20557,320128.840505679,202005250436
131,27507,5,0,2053,Bullock,,1354883649.98218,266873.357504053,202005250436
132,27508,3,0,2340,Bunn,,312599782.273071,114289.902416244,202005250436
133,27509,141,9,6935,Butner,,507253453.414795,156294.942704551,202005250436
134,27510,24,1,14543,Carrboro,,88705554.5671387,57867.6032694508,202005250436
135,27511,32,2,34041,Cary,,333520579.048462,98702.6527265331,202005250436
136,27513,40,1,49003,Cary,,474399121.186279,162336.294574525,202005250436
137,27514,73,16,32847,Chapel Hill,,579057212.663452,190879.985276748,202005250436
138,27516,50,3,44117,Chapel Hill,,2564236091.9281,438904.079251583,202005250436
139,27517,49,0,28831,Chapel Hill,,1520140847.99951,299162.993678501,202005250436
140,27518,18,0,22765,Cary,,262665807.612671,130741.025823352,202005250436
141,27519,38,1,59960,Cary,,609072010.422363,166930.324843009,202005250436
142,27520,103,14,43958,Clayton,,1962402119.35425,374945.851452289,202005250436
143,27521,6,0,7149,Coats,,721041350.168091,174373.299688566,202005250436
144,27522,27,0,13652,Creedmoor,,2172960809.67273,361578.814896966,202005250436
145,27523,7,0,12782,Apex,,1210964088.06177,294058.887697931,202005250436
146,27524,14,0,13532,Four Oaks,,3831785222.9375,530912.577014992,202005250436
147,27525,20,0,15534,Franklinton,,2660281050.9928,421324.476104612,202005250436
148,27526,33,0,54027,Fuquay Varina,,2787678657.25134,460586.982042285,202005250436
149,27527,21,0,30234,Clayton,,1261348608.45837,213730.175971786,202005250436
150,27529,57,0,53854,Garner,,1666161335.17407,336033.618547781,202005250436
