OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length,DataGatherTS
1,27006,176,3,14872,Advance,"",118.343195266272,1744189234.37061,355282.663136038,202010220657
2,27007,38,0,2136,Ararat,"",177.902621722846,592499585.594238,195922.003442792,202010220657
3,27009,24,0,2937,Belews Creek,"",81.7160367722166,618093097.011353,191244.647442635,202010220657
4,27011,107,1,5411,Boonville,"",197.745333579745,1489580093.86462,316910.589814884,202010220657
5,27012,531,14,28954,Clemmons,"",183.394349658078,1176567385.86804,255774.303165276,202010220657
6,27013,129,4,6495,Cleveland,"",198.614318706697,2066336247.98627,379169.285246239,202010220657
7,27014,10,0,957,Cooleemee,"",104.493207941484,21479098.032959,22299.1178929161,202010220657
8,27016,23,0,1682,Danbury,"",136.741973840666,1068209590.0686,211061.413302457,202010220657
9,27017,263,1,9499,Dobson,"",276.871249605222,2962951682.04883,566348.974052304,202010220657
10,27018,146,2,8221,East Bend,"",177.593966670721,2331567909.96985,255811.974556888,202010220657
11,27019,52,1,4234,Germanton,"",122.815304676429,977414017.819214,270248.259734795,202010220657
12,27020,167,2,6104,Hamptonville,"",273.591087811271,2114111622.36755,316969.486887135,202010220657
13,27021,229,1,17979,King,"",127.370821513989,1469376476.14172,210392.900707099,202010220657
14,27022,20,0,1512,Lawsonville,"",132.275132275132,918745327.278442,200803.000966771,202010220657
15,27023,199,2,12775,Lewisville,"",155.772994129159,807172159.002075,183078.980128527,202010220657
16,27024,31,1,2683,Lowgap,"",115.542303391726,1265827411.39758,278411.484773322,202010220657
17,27025,334,2,11117,Madison,"",300.440766393811,2714649364.33142,468723.596670606,202010220657
18,27027,74,0,4017,Mayodan,"",184.217077420961,548179131.574585,172371.363079245,202010220657
19,27028,541,4,28039,Mocksville,"",192.945540140519,5475621774.30664,567238.136149725,202010220657
20,27030,841,15,37641,Mount Airy,"",223.426582715656,4824085732.75671,624989.724929863,202010220657
21,27040,150,1,13150,Pfafftown,"",114.068441064639,763349953.536133,205025.773716105,202010220657
22,27041,102,0,8020,Pilot Mountain,"",127.182044887781,1629462738.40637,324677.141569035,202010220657
23,27042,18,1,720,Pine Hall,"",250,290758639.069458,113971.243586081,202010220657
24,27043,101,1,6442,Pinnacle,"",156.783607575287,1935795027.06067,395674.180712496,202010220657
25,27045,209,3,9583,Rural Hall,"",218.094542418867,666085549.25769,154538.589918543,202010220657
