OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,Shape__Area,Shape__Length,DataGatherTS
82,27302,47,0,32302,Mebane,,3198656461.27478,644303.59427532,202005311336
83,27305,17,1,1585,Milton,,687167820.539429,263836.485514183,202005311336
84,27306,20,1,5945,Mount Gilead,,5305900334.83325,426306.558627535,202005311336
85,27310,8,1,8562,Oak Ridge,,526240082.103149,140986.043049622,202005311336
86,27311,2,0,3220,Pelham,,1338371966.32642,293760.993606137,202005311336
87,27312,99,17,22205,Pittsboro,,5005768374.64233,617961.777569282,202005311336
88,27313,66,14,7288,Pleasant Garden,,760352714.59021,181619.740165306,202005311336
89,27314,0,0,1138,Prospect Hill,,773578280.842896,162162.976448062,202005311336
90,27315,1,0,2140,Providence,,697810511.310425,179457.95829655,202005311336
91,27316,68,1,7156,Ramseur,,1975410509.03577,278228.393914438,202005311336
92,27317,54,2,17851,Randleman,,1700826686.43616,339539.515262609,202005311336
93,27320,24,2,38894,Reidsville,,6966725984.64832,658218.836963247,202005311336
94,27325,24,0,7676,Robbins,,2401051783.47894,409075.895347679,202005311336
95,27326,5,0,3692,Ruffin,,1884156536.74561,359587.547530237,202005311336
96,27330,335,4,39529,Sanford,,6011213414.18433,528161.840140257,202005311336
97,27332,150,1,33549,Sanford,,2996782209.29614,417113.164836099,202005311336
98,27340,NA,NA,34,Saxapahaw,Population <500 and Cases <5,694758.987792969,3852.87240074502,202005311336
99,27341,15,0,5820,Seagrove,,2678433259.4787,311632.157547413,202005311336
100,27343,1,0,1840,Semora,,1390260353.39624,348769.311430722,202005311336
101,27344,447,3,19290,Siler City,,4591228058.44531,607903.308882544,202005311336
102,27349,5,0,5850,Snow Camp,,1831279532.651,381750.490582419,202005311336
103,27350,4,0,7508,Sophia,,1066449848.573,204602.636460839,202005311336
104,27355,23,0,3196,Staley,,1016358702.6969,245160.332752788,202005311336
105,27356,15,1,3513,Star,,1815293543.21783,348288.37985576,202005311336
106,27357,17,1,8325,Stokesdale,,1273124268.28796,223115.118835702,202005311336
107,27358,16,1,15960,Summerfield,,1557557662.14905,323017.176053331,202005311336
108,27360,127,0,48331,Thomasville,,2458732404.91687,372395.85217249,202005311336
109,27370,26,0,14622,Trinity,,1663817222.16028,344702.900725307,202005311336
110,27371,21,0,7778,Troy,,4076136455.00793,473833.643450898,202005311336
111,27376,15,0,9884,West End,,1781050002.06519,320932.333330313,202005311336
112,27377,16,0,9597,Whitsett,,736936774.92627,183024.518653502,202005311336
113,27379,8,0,6057,Yanceyville,,2663338769.75159,422550.665080929,202005311336
114,27401,47,2,20221,Greensboro,,171748092.127686,100334.769337553,202005311336
115,27403,24,1,21278,Greensboro,,159396286.028687,87465.2545388649,202005311336
116,27405,215,6,52510,Greensboro,,886695637.391357,284328.526421691,202005311336
117,27406,91,10,60755,Greensboro,,1894160074.00403,327705.317343953,202005311336
118,27407,140,5,49837,Greensboro,,840498790.451172,227731.576408348,202005311336
119,27408,15,0,17406,Greensboro,,221403500.549561,80148.1616765212,202005311336
120,27409,25,1,17953,Greensboro,,603872824.646484,239783.02449594,202005311336
121,27410,37,3,56968,Greensboro,,859363574.914917,272309.563854046,202005311336
122,27411,0,0,847,Greensboro,,713742.998291016,5860.23208289576,202005311336
123,27412,0,0,1886,Greensboro,,4771290.83532715,13054.7888333439,202005311336
124,27455,33,2,29197,Greensboro,,816075696.678345,198282.860420201,202005311336
125,27498,NA,NA,13,Greensboro,Population <500 and Cases <5,3369264.12316895,7774.18760349114,202005311336
126,27501,28,1,21338,Angier,,1683348454.90833,329143.189780915,202005311336
127,27502,74,1,43747,Apex,,840126405.51062,242725.298081049,202005311336
128,27503,12,0,7222,Bahama,,1054708975.44934,246183.053747647,202005311336
129,27504,44,1,16320,Benson,,2584462015.08862,486262.181304732,202005311336
130,27505,31,2,7308,Broadway,,1509842573.20557,320128.840505679,202005311336
131,27507,9,0,2053,Bullock,,1354883649.98218,266873.357504053,202005311336
132,27508,3,0,2340,Bunn,,312599782.273071,114289.902416244,202005311336
133,27509,173,12,6935,Butner,,507253453.414795,156294.942704551,202005311336
134,27510,31,2,14543,Carrboro,,88705554.5671387,57867.6032694508,202005311336
135,27511,37,2,34041,Cary,,333520579.048462,98702.6527265331,202005311336
136,27513,46,1,49003,Cary,,474399121.186279,162336.294574525,202005311336
137,27514,86,16,32847,Chapel Hill,,579057212.663452,190879.985276748,202005311336
138,27516,54,3,44117,Chapel Hill,,2564236091.9281,438904.079251583,202005311336
139,27517,50,0,28831,Chapel Hill,,1520140847.99951,299162.993678501,202005311336
140,27518,18,0,22765,Cary,,262665807.612671,130741.025823352,202005311336
141,27519,42,1,59960,Cary,,609072010.422363,166930.324843009,202005311336
142,27520,128,14,43958,Clayton,,1962402119.35425,374945.851452289,202005311336
143,27521,6,0,7149,Coats,,721041350.168091,174373.299688566,202005311336
144,27522,32,0,13652,Creedmoor,,2172960809.67273,361578.814896966,202005311336
145,27523,8,0,12782,Apex,,1210964088.06177,294058.887697931,202005311336
146,27524,29,0,13532,Four Oaks,,3831785222.9375,530912.577014992,202005311336
147,27525,31,0,15534,Franklinton,,2660281050.9928,421324.476104612,202005311336
148,27526,39,0,54027,Fuquay Varina,,2787678657.25134,460586.982042285,202005311336
149,27527,40,0,30234,Clayton,,1261348608.45837,213730.175971786,202005311336
150,27529,71,1,53854,Garner,,1666161335.17407,336033.618547781,202005311336
151,27530,137,3,40212,Goldsboro,,2920081393.96802,465673.796837526,202005311336
152,27531,1,0,666,Goldsboro,,123956304.007813,71472.4653387502,202005311336
153,27534,134,1,31819,Goldsboro,,1995982542.31616,394454.137280507,202005311336
154,27536,190,17,16459,Henderson,,359552678.037964,148817.062353839,202005311336
155,27537,121,3,25321,Henderson,,5545289733.50195,795404.906342346,202005311336
156,27539,25,1,26567,Apex,,805959451.628174,335082.894750929,202005311336
157,27540,26,1,39075,Holly Springs,,1299006108.57275,339054.617126205,202005311336
158,27541,3,0,4044,Hurdle Mills,,1979862536.66309,328579.598479954,202005311336
159,27542,15,1,10043,Kenly,,2499059670.1123,366253.348192187,202005311336
160,27544,8,0,4291,Kittrell,,1645813165.28467,322022.503716068,202005311336
161,27545,105,13,30327,Knightdale,,885541868.759766,219250.012614228,202005311336
162,27546,103,19,22436,Lillington,,3433026188.83105,510775.88711738,202005311336
163,27549,94,21,25224,Louisburg,,6636124442.18066,817297.028533166,202005311336
164,27551,2,0,2205,Macon,,2443966870.98499,402849.299843212,202005311336
165,27553,9,0,2030,Manson,,1245206626.07959,217969.561788749,202005311336
166,27556,NA,NA,298,Middleburg,Population <500 and Cases <5,67850312.0914307,63490.7222823736,202005311336
167,27557,10,0,9214,Middlesex,,2046463550.40088,338861.342265204,202005311336
168,27559,1,0,2874,Moncure,,1458825370.29968,366837.077035256,202005311336
169,27560,28,0,33691,Morrisville,,794384947.373291,268297.11970144,202005311336
170,27562,5,0,2791,New Hill,,1862081556.93738,349507.762295745,202005311336
171,27563,23,1,5312,Norlina,,1943381370.69177,412640.540954252,202005311336
172,27565,100,1,26057,Oxford,,9219811779.9552,826827.222809144,202005311336
173,27569,13,0,8984,Princeton,,2107084820.73511,313917.550563748,202005311336
174,27571,5,0,7385,Rolesville,,149121249.193359,94251.9264704589,202005311336
175,27572,5,0,7316,Rougemont,,3003228111.9873,397658.617230022,202005311336
176,27573,19,1,11561,Roxboro,,501787874.430542,219611.309648669,202005311336
177,27574,16,0,15232,Roxboro,,5527133817.3114,691755.452465683,202005311336
178,27576,57,1,20197,Selma,,2407427117.65723,339571.106645256,202005311336
179,27577,79,0,25214,Smithfield,,2877290650.99841,416726.966278933,202005311336
180,27581,8,0,3956,Stem,,1038615853.81189,246789.101888964,202005311336
181,27583,14,0,7012,Timberlake,,1327957318.65857,326956.719649922,202005311336
182,27587,94,6,74087,Wake Forest,,3132804734.81897,700749.84181148,202005311336
183,27589,21,1,8312,Warrenton,,4790731000.68542,626837.217934379,202005311336
184,27591,42,0,23448,Wendell,,1913446220.02844,380727.392057269,202005311336
185,27592,33,1,17368,Willow Spring,,1090932847.86865,312475.180771683,202005311336
186,27596,20,0,18655,Youngsville,,1519151285.28821,344366.073155402,202005311336
187,27597,48,1,25494,Zebulon,,3191967656.80884,568385.679042481,202005311336
