OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,Shape__Area,Shape__Length,DataGatherTS
1,27006,24,2,14872,Advance,,1744189234.37061,355282.663136038,202006031936
2,27007,5,0,2136,Ararat,,592499585.594238,195922.003442792,202006031936
3,27009,3,0,2937,Belews Creek,,618093097.011353,191244.647442635,202006031936
4,27011,18,0,5411,Boonville,,1489580093.86462,316910.589814884,202006031936
5,27012,43,0,28954,Clemmons,,1176567385.86804,255774.303165276,202006031936
6,27013,11,1,6495,Cleveland,,2066336247.98627,379169.285246239,202006031936
7,27014,0,0,957,Cooleemee,,21479098.032959,22299.1178929161,202006031936
8,27016,1,0,1682,Danbury,,1068209590.0686,211061.413302457,202006031936
9,27017,44,0,9499,Dobson,,2962951682.04883,566348.974052304,202006031936
10,27018,42,1,8221,East Bend,,2331567909.96985,255811.974556888,202006031936
11,27019,4,0,4234,Germanton,,977414017.819214,270248.259734795,202006031936
12,27020,33,2,6104,Hamptonville,,2114111622.36755,316969.486887135,202006031936
13,27021,35,0,17979,King,,1469376476.14172,210392.900707099,202006031936
14,27022,0,0,1512,Lawsonville,,918745327.278442,200803.000966771,202006031936
15,27023,28,1,12775,Lewisville,,807172159.002075,183078.980128527,202006031936
16,27024,5,0,2683,Lowgap,,1265827411.39758,278411.484773322,202006031936
17,27025,12,0,11117,Madison,,2714649364.33142,468723.596670606,202006031936
18,27027,1,0,4017,Mayodan,,548179131.574585,172371.363079245,202006031936
19,27028,81,0,28039,Mocksville,,5475621774.30664,567238.136149725,202006031936
20,27030,134,2,37641,Mount Airy,,4824085732.75671,624989.724929863,202006031936
21,27040,13,0,13150,Pfafftown,,763349953.536133,205025.773716105,202006031936
22,27041,6,0,8020,Pilot Mountain,,1629462738.40637,324677.141569035,202006031936
23,27042,3,0,720,Pine Hall,,290758639.069458,113971.243586081,202006031936
24,27043,12,0,6442,Pinnacle,,1935795027.06067,395674.180712496,202006031936
25,27045,35,0,9583,Rural Hall,,666085549.25769,154538.589918543,202006031936
26,27046,0,0,1953,Sandy Ridge,,1237681699.0647,217125.573744555,202006031936
27,27047,2,0,1279,Siloam,,576295820.815674,144984.839113672,202006031936
28,27048,9,0,8902,Stoneville,,2355000804.03674,325454.766660313,202006031936
29,27050,8,0,4084,Tobaccoville,,703876500.567505,219088.1792708,202006031936
30,27051,17,0,8287,Walkertown,,524680317.775635,151066.808563308,202006031936
31,27052,26,0,10061,Walnut Cove,,2710320219.82117,403203.611044297,202006031936
32,27053,1,0,3156,Westfield,,2152815477.55933,413464.446930882,202006031936
33,27054,1,0,2608,Woodleaf,,778193820.583862,201172.963339102,202006031936
34,27055,94,0,14521,Yadkinville,,3115987965.39453,403366.49229781,202006031936
35,27101,45,0,24321,Winston Salem,,356085731.400146,162957.922513793,202006031936
36,27103,130,2,36071,Winston Salem,,527249856.672729,146399.561156354,202006031936
37,27104,108,3,29383,Winston Salem,,337669863.683838,130394.134288752,202006031936
38,27105,305,0,40186,Winston Salem,,950547784.577881,208375.813794777,202006031936
39,27106,186,1,51378,Winston Salem,,787324720.967285,203893.681115083,202006031936
40,27107,315,3,52432,Winston Salem,,1859279716.41162,319111.813640457,202006031936
41,27127,188,2,38510,Winston Salem,,820319160.873047,213438.375685158,202006031936
42,27157,NA,NA,5,Winston Salem,Population <500 and Cases <5,827769.094482422,4216.57245655308,202006031936
43,27203,238,7,21876,Asheboro,,589408161.410522,188062.356665824,202006031936
44,27205,160,2,34549,Asheboro,,6255653514.79199,588011.232518038,202006031936
45,27207,21,0,3806,Bear Creek,,2300194678.82397,473699.237818467,202006031936
46,27208,8,0,1691,Bennett,,1029479783.1405,215638.108979383,202006031936
47,27209,49,2,4151,Biscoe,,1198089302.20734,259108.004034657,202006031936
48,27212,47,0,1600,Blanch,,1328181375.12305,277007.39975067,202006031936
49,27214,12,1,11747,Browns Summit,,1414533235.94788,324969.092830869,202006031936
50,27215,67,3,44892,Burlington,,1827823774.30115,298200.358945539,202006031936
51,27217,191,16,39111,Burlington,,3473433663.33496,513818.51476852,202006031936
52,27229,22,0,4014,Candor,,2747739848.89313,367384.611313313,202006031936
53,27231,2,0,2048,Cedar Grove,,987771348.581177,209108.769362036,202006031936
54,27233,3,0,3647,Climax,,703252829.253662,187154.002103638,202006031936
55,27235,1,0,4575,Colfax,,380654027.583252,148521.339190303,202006031936
56,27239,14,0,9629,Denton,,4319759872.9696,429373.198159064,202006031936
57,27242,2,0,2668,Eagle Springs,,1480408484.01825,321391.030328654,202006031936
58,27243,8,0,4665,Efland,,1142332751.10315,311755.144165646,202006031936
59,27244,5,0,16259,Elon,,1541989025.453,399696.340130384,202006031936
60,27248,20,1,4835,Franklinville,,942909114.352783,215710.992817749,202006031936
61,27249,19,0,13355,Gibsonville,,1679803774.77087,397477.611919868,202006031936
