OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,Shape__Area,Shape__Length,DataGatherTS
1,27006,13,2,14872,Advance,,1744189234.37061,355282.663136038,202005110706
2,27007,1,0,2136,Ararat,,592499585.594238,195922.003442792,202005110706
3,27009,2,0,2937,Belews Creek,,618093097.011353,191244.647442635,202005110706
4,27011,7,0,5411,Boonville,,1489580093.86462,316910.589814884,202005110706
5,27012,20,0,28954,Clemmons,,1176567385.86804,255774.303165276,202005110706
6,27013,10,0,6495,Cleveland,,2066336247.98627,379169.285246239,202005110706
7,27014,0,0,957,Cooleemee,,21479098.032959,22299.1178929161,202005110706
8,27016,0,0,1682,Danbury,,1068209590.0686,211061.413302456,202005110706
9,27017,9,0,9499,Dobson,,2962951682.04883,566348.974052304,202005110706
10,27018,8,1,8221,East Bend,,2331567909.96985,255811.974556888,202005110706
11,27019,2,0,4234,Germanton,,977414017.819214,270248.259734795,202005110706
12,27020,8,0,6104,Hamptonville,,2114111622.36755,316969.486887135,202005110706
13,27021,3,0,17979,King,,1469376476.14172,210392.900707099,202005110706
14,27022,0,0,1512,Lawsonville,,918745327.278442,200803.000966771,202005110706
15,27023,23,1,12775,Lewisville,,807172159.002075,183078.980128527,202005110706
16,27024,2,0,2683,Lowgap,,1265827411.39758,278411.484773322,202005110706
17,27025,5,0,11117,Madison,,2714649364.33142,468723.596670606,202005110706
18,27027,0,0,4017,Mayodan,,548179131.574585,172371.363079245,202005110706
19,27028,22,0,28039,Mocksville,,5475621774.30664,567238.136149725,202005110706
20,27030,21,1,37641,Mount Airy,,4824085732.75671,624989.724929863,202005110706
21,27040,7,0,13150,Pfafftown,,763349953.536133,205025.773716105,202005110706
22,27041,2,0,8020,Pilot Mountain,,1629462738.40637,324677.141569035,202005110706
23,27042,2,0,720,Pine Hall,,290758639.069458,113971.243586081,202005110706
24,27043,3,0,6442,Pinnacle,,1935795027.06067,395674.180712495,202005110706
25,27045,5,0,9583,Rural Hall,,666085549.25769,154538.589918543,202005110706
26,27046,0,0,1953,Sandy Ridge,,1237681699.0647,217125.573744555,202005110706
27,27047,1,0,1279,Siloam,,576295820.815674,144984.839113672,202005110706
28,27048,5,0,8902,Stoneville,,2355000804.03674,325454.766660313,202005110706
29,27050,1,0,4084,Tobaccoville,,703876500.567505,219088.1792708,202005110706
30,27051,7,0,8287,Walkertown,,524680317.775635,151066.808563308,202005110706
31,27052,5,0,10061,Walnut Cove,,2710320219.82117,403203.611044297,202005110706
32,27053,0,0,3156,Westfield,,2152815477.55933,413464.446930882,202005110706
33,27054,1,0,2608,Woodleaf,,778193820.583862,201172.963339102,202005110706
34,27055,27,0,14521,Yadkinville,,3115987965.39453,403366.492297811,202005110706
35,27101,17,0,24321,Winston Salem,,356085731.400146,162957.922513792,202005110706
36,27103,46,1,36071,Winston Salem,,527249856.672729,146399.561156354,202005110706
37,27104,67,1,29383,Winston Salem,,337669863.683838,130394.134288752,202005110706
