OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,RatePer100K,Shape__Area,Shape__Length,DataGatherTS
1,27006,1548,10,14872,Advance,"",1040.88219472835,10408.8219472835,1744189234.37061,355282.663136038,202108240040
2,27007,251,1,2136,Ararat,"",1175.0936329588,11750.936329588,592499585.594238,195922.003442792,202108240040
3,27009,342,3,2937,Belews Creek,"",1164.45352400409,11644.5352400409,618093097.011353,191244.647442635,202108240040
4,27011,633,7,5411,Boonville,"",1169.83921641101,11698.3921641101,1489580093.86462,316910.589814884,202108240040
5,27012,3235,51,28954,Clemmons,"",1117.28949367963,11172.8949367963,1176567385.86804,255774.303165276,202108240040
6,27013,763,8,6495,Cleveland,"",1174.74980754427,11747.4980754426,2066336247.98627,379169.285246239,202108240040
7,27014,109,2,957,Cooleemee,"",1138.97596656217,11389.7596656217,21479098.032959,22299.1178929161,202108240040
8,27016,179,3,1682,Danbury,"",1064.20927467301,10642.0927467301,1068209590.0686,211061.413302457,202108240040
9,27017,1249,16,9499,Dobson,"",1314.87525002632,13148.7525002632,2962951682.04883,566348.974052304,202108240040
10,27018,786,6,8221,East Bend,"",956.088067145116,9560.88067145116,2331567909.96985,255811.974556888,202108240040
11,27019,390,1,4234,Germanton,"",921.114785073217,9211.14785073217,977414017.819214,270248.259734795,202108240040
12,27020,835,7,6104,Hamptonville,"",1367.95543905636,13679.5543905636,2114111622.36755,316969.486887135,202108240040
13,27021,2084,48,17979,King,"",1159.13009622337,11591.3009622337,1469376476.14172,210392.900707099,202108240040
14,27022,110,2,1512,Lawsonville,"",727.513227513227,7275.13227513228,918745327.278442,200803.000966771,202108240040
15,27023,1174,4,12775,Lewisville,"",918.982387475538,9189.82387475538,807172159.002075,183078.980128527,202108240040
16,27024,323,3,2683,Lowgap,"",1203.87625792024,12038.7625792024,1265827411.39758,278411.484773322,202108240040
17,27025,1108,31,11117,Madison,"",996.671763965099,9966.71763965099,2714649364.33142,468723.596670606,202108240040
18,27027,393,19,4017,Mayodan,"",978.342046303211,9783.42046303211,548179131.574585,172371.363079245,202108240040
19,27028,3181,33,28039,Mocksville,"",1134.49124433824,11344.9124433824,5475621774.30664,567238.136149725,202108240040
20,27030,4887,107,37641,Mount Airy,"",1298.31832310512,12983.1832310512,4824085732.75671,624989.724929863,202108240040
21,27040,1189,10,13150,Pfafftown,"",904.182509505703,9041.82509505703,763349953.536133,205025.773716105,202108240040
22,27041,829,8,8020,Pilot Mountain,"",1033.66583541147,10336.6583541147,1629462738.40637,324677.141569035,202108240040
23,27042,78,2,720,Pine Hall,"",1083.33333333333,10833.3333333333,290758639.069458,113971.243586081,202108240040
24,27043,614,7,6442,Pinnacle,"",953.120149022043,9531.20149022043,1935795027.06067,395674.180712496,202108240040
25,27045,1163,9,9583,Rural Hall,"",1213.60742982365,12136.0742982365,666085549.25769,154538.589918543,202108240040
26,27046,169,1,1953,Sandy Ridge,"",865.335381464414,8653.35381464414,1237681699.0647,217125.573744555,202108240040
27,27047,136,2,1279,Siloam,"",1063.33072713057,10633.3072713057,576295820.815674,144984.839113672,202108240040
28,27048,820,12,8902,Stoneville,"",921.141316558077,9211.41316558077,2355000804.03674,325454.766660313,202108240040
29,27050,389,4,4084,Tobaccoville,"",952.497551420176,9524.97551420176,703876500.567505,219088.1792708,202108240040
