OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length,DataGatherTS
1,27006,93,3,14872,Advance,"",62.5336202259279,1744189234.37061,355282.663136038,202008231251
2,27007,26,0,2136,Ararat,"",121.722846441948,592499585.594238,195922.003442792,202008231251
3,27009,9,0,2937,Belews Creek,"",30.6435137895812,618093097.011353,191244.647442635,202008231251
4,27011,59,0,5411,Boonville,"",109.037146553317,1489580093.86462,316910.589814884,202008231251
5,27012,292,3,28954,Clemmons,"",100.849623540789,1176567385.86804,255774.303165276,202008231251
6,27013,76,2,6495,Cleveland,"",117.013086989992,2066336247.98627,379169.285246239,202008231251
7,27014,7,0,957,Cooleemee,"",73.1452455590387,21479098.032959,22299.1178929161,202008231251
8,27016,19,0,1682,Danbury,"",112.960760998811,1068209590.0686,211061.413302457,202008231251
9,27017,185,0,9499,Dobson,"",194.757342878198,2962951682.04883,566348.974052304,202008231251
10,27018,100,2,8221,East Bend,"",121.639703199124,2331567909.96985,255811.974556888,202008231251
11,27019,29,0,4234,Germanton,"",68.4931506849315,977414017.819214,270248.259734795,202008231251
12,27020,107,2,6104,Hamptonville,"",175.294888597641,2114111622.36755,316969.486887135,202008231251
13,27021,128,1,17979,King,"",71.1941709772512,1469376476.14172,210392.900707099,202008231251
14,27022,6,0,1512,Lawsonville,"",39.6825396825397,918745327.278442,200803.000966771,202008231251
15,27023,126,1,12775,Lewisville,"",98.6301369863014,807172159.002075,183078.980128527,202008231251
16,27024,20,0,2683,Lowgap,"",74.5434215430488,1265827411.39758,278411.484773322,202008231251
17,27025,78,0,11117,Madison,"",70.1628137087344,2714649364.33142,468723.596670606,202008231251
18,27027,20,0,4017,Mayodan,"",49.7883993029624,548179131.574585,172371.363079245,202008231251
19,27028,356,3,28039,Mocksville,"",126.966011626663,5475621774.30664,567238.136149725,202008231251
20,27030,524,8,37641,Mount Airy,"",139.20990409394,4824085732.75671,624989.724929863,202008231251
21,27040,99,1,13150,Pfafftown,"",75.2851711026616,763349953.536133,205025.773716105,202008231251
22,27041,74,0,8020,Pilot Mountain,"",92.2693266832918,1629462738.40637,324677.141569035,202008231251
23,27042,8,1,720,Pine Hall,"",111.111111111111,290758639.069458,113971.243586081,202008231251
24,27043,74,1,6442,Pinnacle,"",114.871158025458,1935795027.06067,395674.180712496,202008231251
25,27045,148,2,9583,Rural Hall,"",154.440154440154,666085549.25769,154538.589918543,202008231251
26,27046,6,0,1953,Sandy Ridge,"",30.7219662058372,1237681699.0647,217125.573744555,202008231251
27,27047,8,0,1279,Siloam,"",62.5488663017983,576295820.815674,144984.839113672,202008231251
28,27048,59,0,8902,Stoneville,"",66.2772410694226,2355000804.03674,325454.766660313,202008231251
29,27050,28,0,4084,Tobaccoville,"",68.5602350636631,703876500.567505,219088.1792708,202008231251
30,27051,81,1,8287,Walkertown,"",97.7434536020273,524680317.775635,151066.808563308,202008231251
31,27052,64,0,10061,Walnut Cove,"",63.6119670012921,2710320219.82117,403203.611044297,202008231251
32,27053,16,0,3156,Westfield,"",50.6970849176172,2152815477.55933,413464.446930882,202008231251
33,27054,36,0,2608,Woodleaf,"",138.036809815951,778193820.583862,201172.963339102,202008231251
34,27055,277,2,14521,Yadkinville,"",190.758212244336,3115987965.39453,403366.49229781,202008231251
35,27101,244,1,24321,Winston Salem,"",100.324822170141,356085731.400146,162957.922513793,202008231251
36,27103,500,13,36071,Winston Salem,"",138.615508303069,527249856.672729,146399.561156354,202008231251
37,27104,377,8,29383,Winston Salem,"",128.305482762141,337669863.683838,130394.134288752,202008231251
38,27105,955,9,40186,Winston Salem,"",237.644950977953,950547784.577881,208375.813794777,202008231251
39,27106,707,7,51378,Winston Salem,"",137.607536299583,787324720.967285,203893.681115083,202008231251
40,27107,1069,10,52432,Winston Salem,"",203.883124809277,1859279716.41162,319111.813640457,202008231251
41,27127,707,5,38510,Winston Salem,"",183.588678265386,820319160.873047,213438.375685158,202008231251
42,27157,10,0,5,Winston Salem,"",,827769.094482422,4216.57245655308,202008231251
43,27203,662,17,21876,Asheboro,"",302.614737611995,589408161.410522,188062.356665824,202008231251
44,27205,573,7,34549,Asheboro,"",165.851399461634,6255653514.79199,588011.232518038,202008231251
45,27207,76,1,3806,Bear Creek,"",199.684708355229,2300194678.82397,473699.237818467,202008231251
46,27208,37,0,1691,Bennett,"",218.805440567711,1029479783.1405,215638.108979383,202008231251
47,27209,206,10,4151,Biscoe,"",496.265960009636,1198089302.20734,259108.004034657,202008231251
48,27212,51,0,1600,Blanch,"",318.75,1328181375.12305,277007.39975067,202008231251
49,27214,107,1,11747,Browns Summit,"",91.0870860645271,1414533235.94788,324969.092830869,202008231251
