OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,Shape__Area,Shape__Length,DataGatherTS
1,27006,19,2,14872,Advance,,1744189234.37061,355282.663136038,202005180206
2,27007,1,0,2136,Ararat,,592499585.594238,195922.003442792,202005180206
3,27009,2,0,2937,Belews Creek,,618093097.011353,191244.647442635,202005180206
4,27011,13,0,5411,Boonville,,1489580093.86462,316910.589814884,202005180206
5,27012,20,0,28954,Clemmons,,1176567385.86804,255774.303165276,202005180206
6,27013,10,0,6495,Cleveland,,2066336247.98627,379169.285246239,202005180206
7,27014,0,0,957,Cooleemee,,21479098.032959,22299.1178929161,202005180206
8,27016,0,0,1682,Danbury,,1068209590.0686,211061.413302456,202005180206
9,27017,13,0,9499,Dobson,,2962951682.04883,566348.974052304,202005180206
10,27018,19,1,8221,East Bend,,2331567909.96985,255811.974556888,202005180206
11,27019,2,0,4234,Germanton,,977414017.819214,270248.259734795,202005180206
12,27020,18,0,6104,Hamptonville,,2114111622.36755,316969.486887135,202005180206
13,27021,17,0,17979,King,,1469376476.14172,210392.900707099,202005180206
14,27022,0,0,1512,Lawsonville,,918745327.278442,200803.000966771,202005180206
15,27023,23,1,12775,Lewisville,,807172159.002075,183078.980128527,202005180206
16,27024,3,0,2683,Lowgap,,1265827411.39758,278411.484773322,202005180206
17,27025,7,0,11117,Madison,,2714649364.33142,468723.596670606,202005180206
18,27027,0,0,4017,Mayodan,,548179131.574585,172371.363079245,202005180206
19,27028,26,0,28039,Mocksville,,5475621774.30664,567238.136149725,202005180206
20,27030,50,1,37641,Mount Airy,,4824085732.75671,624989.724929863,202005180206
21,27040,7,0,13150,Pfafftown,,763349953.536133,205025.773716105,202005180206
22,27041,2,0,8020,Pilot Mountain,,1629462738.40637,324677.141569035,202005180206
23,27042,3,0,720,Pine Hall,,290758639.069458,113971.243586081,202005180206
24,27043,8,0,6442,Pinnacle,,1935795027.06067,395674.180712495,202005180206
25,27045,15,0,9583,Rural Hall,,666085549.25769,154538.589918543,202005180206
26,27046,0,0,1953,Sandy Ridge,,1237681699.0647,217125.573744555,202005180206
27,27047,2,0,1279,Siloam,,576295820.815674,144984.839113672,202005180206
28,27048,5,0,8902,Stoneville,,2355000804.03674,325454.766660313,202005180206
29,27050,1,0,4084,Tobaccoville,,703876500.567505,219088.1792708,202005180206
30,27051,10,0,8287,Walkertown,,524680317.775635,151066.808563308,202005180206
31,27052,6,0,10061,Walnut Cove,,2710320219.82117,403203.611044297,202005180206
32,27053,1,0,3156,Westfield,,2152815477.55933,413464.446930882,202005180206
33,27054,1,0,2608,Woodleaf,,778193820.583862,201172.963339102,202005180206
34,27055,47,0,14521,Yadkinville,,3115987965.39453,403366.492297811,202005180206
35,27101,20,0,24321,Winston Salem,,356085731.400146,162957.922513792,202005180206
36,27103,71,1,36071,Winston Salem,,527249856.672729,146399.561156354,202005180206
37,27104,74,1,29383,Winston Salem,,337669863.683838,130394.134288752,202005180206
38,27105,93,0,40186,Winston Salem,,950547784.577881,208375.813794777,202005180206
39,27106,83,1,51378,Winston Salem,,787324720.967285,203893.681115083,202005180206
40,27107,137,2,52432,Winston Salem,,1859279716.41162,319111.813640457,202005180206
41,27127,69,1,38510,Winston Salem,,820319160.873047,213438.375685158,202005180206
42,27157,NA,NA,5,Winston Salem,Population <500 and Cases <5,827769.094482422,4216.57245655308,202005180206
43,27203,156,2,21876,Asheboro,,589408161.410522,188062.356665824,202005180206
44,27205,96,2,34549,Asheboro,,6255653514.79199,588011.232518036,202005180206
45,27207,15,0,3806,Bear Creek,,2300194678.82397,473699.237818467,202005180206
46,27208,8,0,1691,Bennett,,1029479783.1405,215638.108979383,202005180206
47,27209,21,2,4151,Biscoe,,1198089302.20734,259108.004034657,202005180206
48,27212,15,0,1600,Blanch,,1328181375.12305,277007.399750669,202005180206
49,27214,9,1,11747,Browns Summit,,1414533235.94788,324969.09283087,202005180206
50,27215,34,3,44892,Burlington,,1827823774.30115,298200.358945539,202005180206
51,27217,105,8,39111,Burlington,,3473433663.33496,513818.51476852,202005180206
52,27229,9,0,4014,Candor,,2747739848.89313,367384.611313312,202005180206
53,27231,0,0,2048,Cedar Grove,,987771348.581177,209108.769362036,202005180206
54,27233,2,0,3647,Climax,,703252829.253662,187154.002103638,202005180206
55,27235,0,0,4575,Colfax,,380654027.583252,148521.339190303,202005180206
56,27239,12,0,9629,Denton,,4319759872.9696,429373.198159064,202005180206
57,27242,0,0,2668,Eagle Springs,,1480408484.01825,321391.030328654,202005180206
58,27243,7,0,4665,Efland,,1142332751.10315,311755.144165646,202005180206
59,27244,3,0,16259,Elon,,1541989025.453,399696.340130384,202005180206
60,27248,13,0,4835,Franklinville,,942909114.352783,215710.992817749,202005180206
61,27249,6,0,13355,Gibsonville,,1679803774.77087,397477.611919868,202005180206
62,27252,6,1,2264,Goldston,,1142470673.17163,220926.147155476,202005180206
63,27253,32,0,31464,Graham,,2351372927.78931,521476.969804176,202005180206
64,27258,8,0,7740,Haw River,,473631125.268677,312686.877842212,202005180206
65,27260,123,5,25696,High Point,,348441568.963501,133229.878739789,202005180206
66,27262,60,1,24764,High Point,,368730084.700928,171087.864383377,202005180206
67,27263,37,0,22320,High Point,,1121512604.52234,249658.228757679,202005180206
68,27265,97,4,50038,High Point,,1172957282.41284,307481.490778656,202005180206
69,27268,1,0,1695,High Point,,2495618.64758301,8251.66869064816,202005180206
70,27278,35,0,27181,Hillsborough,,2885765742.02771,502574.675043234,202005180206
