OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,RatePer100K,Shape__Area,Shape__Length,DataGatherTS
1,27006,302,3,14872,Advance,"",203.066164604626,2030.66164604626,1744189234.37061,355282.663136038,202011240555
2,27007,62,0,2136,Ararat,"",290.262172284644,2902.62172284644,592499585.594238,195922.003442792,202011240555
3,27009,59,0,2937,Belews Creek,"",200.885257065032,2008.85257065032,618093097.011353,191244.647442635,202011240555
4,27011,177,2,5411,Boonville,"",327.111439659952,3271.11439659952,1489580093.86462,316910.589814884,202011240555
5,27012,780,16,28954,Clemmons,"",269.392830006217,2693.92830006217,1176567385.86804,255774.303165276,202011240555
6,27013,160,4,6495,Cleveland,"",246.343341031563,2463.43341031563,2066336247.98627,379169.285246239,202011240555
7,27014,20,0,957,Cooleemee,"",208.986415882968,2089.86415882968,21479098.032959,22299.1178929161,202011240555
8,27016,43,0,1682,Danbury,"",255.648038049941,2556.48038049941,1068209590.0686,211061.413302457,202011240555
9,27017,406,3,9499,Dobson,"",427.413411938099,4274.13411938099,2962951682.04883,566348.974052304,202011240555
10,27018,236,2,8221,East Bend,"",287.069699549933,2870.69699549933,2331567909.96985,255811.974556888,202011240555
11,27019,96,1,4234,Germanton,"",226.735947094946,2267.35947094946,977414017.819214,270248.259734795,202011240555
12,27020,216,3,6104,Hamptonville,"",353.866317169069,3538.66317169069,2114111622.36755,316969.486887135,202011240555
13,27021,411,5,17979,King,"",228.600033372268,2286.00033372268,1469376476.14172,210392.900707099,202011240555
14,27022,29,0,1512,Lawsonville,"",191.798941798942,1917.98941798942,918745327.278442,200803.000966771,202011240555
15,27023,336,2,12775,Lewisville,"",263.013698630137,2630.13698630137,807172159.002075,183078.980128527,202011240555
16,27024,63,2,2683,Lowgap,"",234.811777860604,2348.11777860604,1265827411.39758,278411.484773322,202011240555
17,27025,463,3,11117,Madison,"",416.479265989026,4164.79265989026,2714649364.33142,468723.596670606,202011240555
18,27027,131,0,4017,Mayodan,"",326.114015434404,3261.14015434404,548179131.574585,172371.363079245,202011240555
19,27028,805,10,28039,Mocksville,"",287.100110560291,2871.00110560291,5475621774.30664,567238.136149725,202011240555
20,27030,1309,22,37641,Mount Airy,"",347.759092478946,3477.59092478946,4824085732.75671,624989.724929863,202011240555
21,27040,301,1,13150,Pfafftown,"",228.897338403042,2288.97338403042,763349953.536133,205025.773716105,202011240555
22,27041,176,2,8020,Pilot Mountain,"",219.451371571072,2194.51371571072,1629462738.40637,324677.141569035,202011240555
23,27042,31,1,720,Pine Hall,"",430.555555555556,4305.55555555556,290758639.069458,113971.243586081,202011240555
24,27043,166,1,6442,Pinnacle,"",257.683949084135,2576.83949084135,1935795027.06067,395674.180712496,202011240555
25,27045,319,3,9583,Rural Hall,"",332.881143691955,3328.81143691955,666085549.25769,154538.589918543,202011240555
26,27046,53,1,1953,Sandy Ridge,"",271.377368151562,2713.77368151562,1237681699.0647,217125.573744555,202011240555
27,27047,49,0,1279,Siloam,"",383.111806098514,3831.11806098514,576295820.815674,144984.839113672,202011240555
28,27048,276,1,8902,Stoneville,"",310.042687036621,3100.42687036621,2355000804.03674,325454.766660313,202011240555
29,27050,95,1,4084,Tobaccoville,"",232.615083251714,2326.15083251714,703876500.567505,219088.1792708,202011240555
30,27051,200,3,8287,Walkertown,"",241.341860745746,2413.41860745746,524680317.775635,151066.808563308,202011240555
31,27052,235,7,10061,Walnut Cove,"",233.57519133287,2335.7519133287,2710320219.82117,403203.611044297,202011240555
32,27053,41,1,3156,Westfield,"",129.911280101394,1299.11280101394,2152815477.55933,413464.446930882,202011240555
33,27054,74,0,2608,Woodleaf,"",283.742331288344,2837.42331288344,778193820.583862,201172.963339102,202011240555
34,27055,605,3,14521,Yadkinville,"",416.637972591419,4166.37972591419,3115987965.39453,403366.49229781,202011240555
35,27101,618,21,24321,Winston Salem,"",254.10139385716,2541.0139385716,356085731.400146,162957.922513793,202011240555
36,27103,1028,17,36071,Winston Salem,"",284.99348507111,2849.9348507111,527249856.672729,146399.561156354,202011240555
37,27104,874,14,29383,Winston Salem,"",297.450906987033,2974.50906987033,337669863.683838,130394.134288752,202011240555
38,27105,1548,16,40186,Winston Salem,"",385.208779176828,3852.08779176828,950547784.577881,208375.813794777,202011240555
