OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length,DataGatherTS
1,27006,64,3,14872,Advance,"",43.0338891877353,1744189234.37061,355282.663136038,202007271843
2,27007,18,0,2136,Ararat,"",84.2696629213483,592499585.594238,195922.003442792,202007271843
3,27009,8,0,2937,Belews Creek,"",27.2386789240722,618093097.011353,191244.647442635,202007271843
4,27011,44,0,5411,Boonville,"",81.3158381075587,1489580093.86462,316910.589814884,202007271843
5,27012,219,0,28954,Clemmons,"",75.6372176555916,1176567385.86804,255774.303165276,202007271843
6,27013,53,2,6495,Cleveland,"",81.6012317167052,2066336247.98627,379169.285246239,202007271843
7,27014,4,0,957,Cooleemee,"",41.7972831765935,21479098.032959,22299.1178929161,202007271843
8,27016,4,0,1682,Danbury,"",23.7812128418549,1068209590.0686,211061.413302457,202007271843
9,27017,164,0,9499,Dobson,"",172.649752605537,2962951682.04883,566348.974052304,202007271843
10,27018,83,2,8221,East Bend,"",100.960953655273,2331567909.96985,255811.974556888,202007271843
11,27019,24,0,4234,Germanton,"",56.6839867737364,977414017.819214,270248.259734795,202007271843
12,27020,78,2,6104,Hamptonville,"",127.78505897772,2114111622.36755,316969.486887135,202007271843
13,27021,98,1,17979,King,"",54.508037154458,1469376476.14172,210392.900707099,202007271843
14,27022,3,0,1512,Lawsonville,"",19.8412698412698,918745327.278442,200803.000966771,202007271843
15,27023,98,1,12775,Lewisville,"",76.7123287671233,807172159.002075,183078.980128527,202007271843
16,27024,12,0,2683,Lowgap,"",44.7260529258293,1265827411.39758,278411.484773322,202007271843
17,27025,33,0,11117,Madison,"",29.6842673383107,2714649364.33142,468723.596670606,202007271843
18,27027,11,0,4017,Mayodan,"",27.3836196166293,548179131.574585,172371.363079245,202007271843
19,27028,239,0,28039,Mocksville,"",85.2384179179001,5475621774.30664,567238.136149725,202007271843
20,27030,368,3,37641,Mount Airy,"",97.7657341728434,4824085732.75671,624989.724929863,202007271843
21,27040,73,0,13150,Pfafftown,"",55.5133079847909,763349953.536133,205025.773716105,202007271843
22,27041,52,0,8020,Pilot Mountain,"",64.8379052369077,1629462738.40637,324677.141569035,202007271843
23,27042,5,1,720,Pine Hall,"",69.4444444444444,290758639.069458,113971.243586081,202007271843
24,27043,50,0,6442,Pinnacle,"",77.6156473144986,1935795027.06067,395674.180712496,202007271843
25,27045,99,1,9583,Rural Hall,"",103.307941145779,666085549.25769,154538.589918543,202007271843
