state,county,date,cases_confirmed_cum,cases_daily,deaths_confirmed_cum,deaths_daily
North Carolina,Alleghany,1/29/2020,0,0,0,0
North Carolina,Alleghany,1/30/2020,0,0,0,0
North Carolina,Alleghany,1/31/2020,0,0,0,0
North Carolina,Alleghany,2/1/2020,0,0,0,0
North Carolina,Alleghany,2/2/2020,0,0,0,0
North Carolina,Alleghany,2/3/2020,0,0,0,0
North Carolina,Alleghany,2/4/2020,0,0,0,0
North Carolina,Alleghany,2/5/2020,0,0,0,0
North Carolina,Alleghany,2/6/2020,0,0,0,0
North Carolina,Alleghany,2/7/2020,0,0,0,0
North Carolina,Alleghany,2/8/2020,0,0,0,0
North Carolina,Alleghany,2/9/2020,0,0,0,0
North Carolina,Alleghany,2/10/2020,0,0,0,0
North Carolina,Alleghany,2/11/2020,0,0,0,0
North Carolina,Alleghany,2/12/2020,0,0,0,0
North Carolina,Alleghany,2/13/2020,0,0,0,0
North Carolina,Alleghany,2/14/2020,0,0,0,0
North Carolina,Alleghany,2/15/2020,0,0,0,0
North Carolina,Alleghany,2/16/2020,0,0,0,0
North Carolina,Alleghany,2/17/2020,0,0,0,0
North Carolina,Alleghany,2/18/2020,0,0,0,0
North Carolina,Alleghany,2/19/2020,0,0,0,0
North Carolina,Alleghany,2/20/2020,0,0,0,0
North Carolina,Alleghany,2/21/2020,0,0,0,0
North Carolina,Alleghany,2/22/2020,0,0,0,0
North Carolina,Alleghany,2/23/2020,0,0,0,0
North Carolina,Alleghany,2/24/2020,0,0,0,0
North Carolina,Alleghany,2/25/2020,0,0,0,0
North Carolina,Alleghany,2/26/2020,0,0,0,0
North Carolina,Alleghany,2/27/2020,0,0,0,0
North Carolina,Alleghany,2/28/2020,0,0,0,0
North Carolina,Alleghany,2/29/2020,0,0,0,0
North Carolina,Alleghany,3/1/2020,0,0,0,0
North Carolina,Alleghany,3/2/2020,0,0,0,0
North Carolina,Alleghany,3/3/2020,0,0,0,0
North Carolina,Alleghany,3/4/2020,0,0,0,0
North Carolina,Alleghany,3/5/2020,0,0,0,0
North Carolina,Alleghany,3/6/2020,0,0,0,0
North Carolina,Alleghany,3/7/2020,0,0,0,0
North Carolina,Alleghany,3/8/2020,0,0,0,0
North Carolina,Alleghany,3/9/2020,0,0,0,0
North Carolina,Alleghany,3/10/2020,0,0,0,0
North Carolina,Alleghany,3/11/2020,0,0,0,0
North Carolina,Alleghany,3/12/2020,0,0,0,0
North Carolina,Alleghany,3/13/2020,0,0,0,0
North Carolina,Alleghany,3/14/2020,0,0,0,0
North Carolina,Alleghany,3/15/2020,0,0,0,0
